loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,count_other_trans,sum_other_amount_in,sum_other_amount_out,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
4996,132,1996-11-06,88440,12,7370.0,A,40,after_transaction,179.0,460375,269642.0,190733.0,0.0,0.0,1517.0,400.0,0.0,0,31,16600.0,0.0,0.0,100.0,283.0,458458,21,268125.0,190333.0,79008,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5
5002,173,1994-05-31,104808,12,8734.0,A,66,monthly,186.0,199278,113647.0,85631.0,12512.0,1470.0,612.0,15.0,0.0,0,30,23723.0,6256.0,735.0,15.0,168.0,184669,20,113035.0,71634.0,28015,M,60,57.0,2,0,0,0,125832,0.483,8512,102,3.81,2175.0
5005,176,1997-04-10,27456,12,2288.0,A,71,weekly,241.0,885024,460653.0,424371.0,22820.0,485.0,1545.0,180.0,0.0,0,75,189927.0,4564.0,97.0,30.0,319.0,859994,51,459108.0,400886.0,36281,M,32,32.0,1,0,0,0,161227,0.6970000000000001,8678,102,5.735,4787.5
5015,226,1998-07-12,109344,12,9112.0,C,70,monthly,504.0,697663,382159.0,315504.0,116064.0,0.0,2869.0,180.0,0.0,0,93,33071.0,17856.0,0.0,15.0,236.0,578550,52,379290.0,199260.0,66657,F,55,55.0,1,1,0,0,285387,0.899,10177,81,7.175,9993.0
5027,276,1998-12-02,160920,36,4470.0,C,38,monthly,359.0,656117,352220.0,303897.0,36484.0,0.0,2822.0,120.0,0.0,0,59,32527.0,5212.0,0.0,15.0,189.0,616691,32,349398.0,267293.0,48340,M,28,28.0,1,1,0,0,85852,0.598,8965,104,7.615,2737.5
5032,290,1994-11-03,123696,48,2577.0,A,56,monthly,336.0,546151,285669.0,260482.0,15918.0,0.0,2169.0,90.0,0.0,0,61,5942.0,2653.0,0.0,15.0,114.0,527974,39,283500.0,244474.0,25202,M,59,59.0,1,0,0,0,124605,0.46,8772,126,4.79,3006.0
5034,303,1998-05-30,112752,36,3132.0,C,71,monthly,674.0,720529,384720.0,335809.0,68454.0,0.0,3601.0,255.0,0.0,0,129,16278.0,3803.0,0.0,15.0,213.0,648219,73,381119.0,267100.0,48917,F,43,43.0,1,1,0,0,161227,0.6970000000000001,8678,102,5.735,4787.5
5036,309,1998-11-25,91248,48,1901.0,C,14,monthly,579.0,783962,399412.0,384550.0,0.0,0.0,2118.0,210.0,0.0,0,99,24635.0,0.0,0.0,15.0,104.0,781634,67,397294.0,384340.0,14867,F,26,26.0,1,0,0,0,177686,0.748,10045,135,1.555,6449.5
5039,314,1997-05-03,66840,24,2785.0,C,15,after_transaction,463.0,1179010,600842.0,578168.0,150601.0,0.0,2189.0,1100.0,0.0,0,94,50091.0,13691.0,0.0,100.0,176.0,1025120,57,598653.0,426467.0,22774,F,60,62.0,2,0,0,0,58796,0.519,9045,124,3.35,1862.0
5041,319,1997-07-11,369000,60,6150.0,C,47,weekly,633.0,1035410,547477.0,487933.0,19026.0,7904.0,3660.0,570.0,0.0,0,171,13115.0,1057.0,832.0,30.0,190.0,1004250,95,543817.0,460433.0,59545,F,25,25.0,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
5042,330,1998-07-12,331584,48,6908.0,C,42,monthly,595.0,936780,496135.0,440645.0,0.0,0.0,3087.0,225.0,0.0,0,101,24115.0,0.0,0.0,15.0,182.0,933468,67,493048.0,440420.0,55495,F,26,29.0,2,0,0,0,95907,0.591,8388,87,2.67,1663.0
5043,339,1997-12-25,468060,60,7801.0,C,46,weekly,470.0,1552054,823645.0,728409.0,44957.0,0.0,4124.0,330.0,0.0,0,112,38265.0,4087.0,0.0,30.0,287.0,1502643,75,819521.0,683122.0,102735,F,52,53.0,2,1,0,0,112709,0.735,8369,117,2.005,2736.0
5044,344,1994-12-21,100980,60,1683.0,C,54,monthly,385.0,368279,207708.0,160571.0,42651.0,0.0,1662.0,120.0,0.0,0,70,15754.0,4739.0,0.0,15.0,162.0,323846,41,206046.0,117800.0,47138,M,34,34.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
5045,347,1995-05-01,187224,24,7801.0,B,65,monthly,504.0,953460,502144.0,451316.0,0.0,0.0,2663.0,180.0,0.0,1,88,8230.0,0.0,0.0,30.0,165.0,950617,58,499481.0,451136.0,50847,M,52,52.0,1,0,0,0,114200,0.43700000000000006,8403,105,5.71,2437.5
5046,349,1998-09-09,42816,12,3568.0,C,72,monthly,458.0,272504,145599.0,126905.0,46600.0,0.0,1149.0,165.0,0.0,0,85,7075.0,4660.0,0.0,15.0,69.0,224590,49,144450.0,80140.0,18697,M,62,60.0,2,0,0,0,226122,0.626,8994,110,4.295,9440.0
5051,378,1997-10-11,230400,60,3840.0,C,68,monthly,446.0,2115382,1082327.0,1033055.0,110981.0,26.0,4528.0,210.0,0.0,0,168,46296.0,8537.0,2.0,15.0,259.0,1999637,113,1077799.0,921838.0,49277,M,38,38.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
5060,426,1994-07-19,252060,60,4201.0,D,1,monthly,232.0,709135,389615.0,319520.0,37485.0,0.0,1277.0,75.0,0.0,0,61,43188.0,7497.0,0.0,15.0,202.0,670298,44,388338.0,281960.0,70097,F,34,34.0,1,0,0,0,1204953,1.0,12541,167,0.315,92392.0
5061,440,1998-03-13,84288,48,1756.0,C,29,monthly,446.0,505122,272322.0,232800.0,58250.0,0.0,1513.0,150.0,0.0,0,85,7440.0,5825.0,0.0,15.0,112.0,445209,51,270809.0,174400.0,39526,F,42,42.0,1,0,0,0,45714,0.556,8843,113,3.2,853.0
5063,442,1997-07-10,357840,48,7455.0,D,54,monthly,102.0,10100,10100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,10100,2,10100.0,0.0,10100,F,58,58.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
5072,472,1997-04-28,196800,24,8200.0,D,8,monthly,199.0,603997,321082.0,282915.0,0.0,0.0,975.0,15.0,0.0,0,23,48215.0,0.0,0.0,15.0,192.0,603007,17,320107.0,282900.0,38166,F,39,39.0,1,0,0,0,112065,0.6940000000000001,11277,127,1.3199999999999998,5083.0
5082,501,1996-10-24,262980,60,4383.0,C,13,monthly,369.0,409377,242727.0,166650.0,0.0,0.0,1869.0,150.0,0.0,0,56,8615.0,0.0,0.0,15.0,138.0,407358,35,240858.0,166500.0,76081,F,33,33.0,1,0,0,0,53921,0.413,8598,123,2.98,1736.0
5086,525,1997-07-16,210384,48,4383.0,C,70,monthly,483.0,461704,254090.0,207614.0,38724.0,0.0,2599.0,90.0,0.0,0,59,28369.0,6454.0,0.0,15.0,201.0,420291,33,251491.0,168800.0,46478,F,43,43.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
5088,544,1996-08-22,91152,24,3798.0,A,32,monthly,465.0,727883,383630.0,344253.0,0.0,0.0,2510.0,150.0,0.0,0,77,40615.0,0.0,0.0,15.0,228.0,725223,53,381120.0,344103.0,39379,M,57,57.0,1,1,0,0,105058,0.81,9272,118,3.01,4422.5
5103,666,1997-11-28,12540,12,1045.0,A,27,monthly,623.0,638878,346718.0,292160.0,59040.0,14325.0,3371.0,225.0,0.0,0,152,13688.0,3936.0,955.0,15.0,213.0,561917,88,343347.0,218570.0,54562,F,59,61.0,2,1,0,0,67298,0.43799999999999994,8561,110,0.9450000000000001,1078.0
5110,675,1997-04-01,102240,60,1704.0,C,58,monthly,607.0,472023,253393.0,218630.0,95370.0,0.0,2526.0,240.0,0.0,0,126,12673.0,6358.0,0.0,15.0,150.0,373887,75,250867.0,123020.0,34783,F,54,56.5,2,1,0,0,109164,0.636,8757,96,3.625,2341.5
5117,718,1997-08-20,76944,12,6412.0,A,1,monthly,535.0,915510,487382.0,428128.0,7986.0,66451.0,2069.0,150.0,0.0,0,110,64929.0,726.0,6041.0,15.0,241.0,838854,64,485313.0,353541.0,59256,F,43,43.0,1,1,0,0,1204953,1.0,12541,167,0.315,92392.0
5124,785,1998-02-12,156096,36,4336.0,C,21,weekly,187.0,314437,171455.0,142982.0,14790.0,0.0,1358.0,60.0,0.0,0,33,34525.0,7395.0,0.0,30.0,222.0,298229,23,170097.0,128132.0,28472,M,47,47.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
5125,789,1995-11-23,73056,48,1522.0,C,39,monthly,290.0,124715,73130.0,51585.0,10765.0,0.0,864.0,75.0,0.0,0,51,8609.0,2153.0,0.0,15.0,98.0,113011,32,72266.0,40745.0,21546,M,29,25.5,2,0,0,0,119895,0.899,10446,90,8.35,4845.0
5126,790,1994-07-24,208128,48,4336.0,B,54,monthly,439.0,604301,342886.0,261415.0,0.0,0.0,1824.0,120.0,0.0,0,64,19515.0,0.0,0.0,15.0,142.0,602357,43,341062.0,261295.0,81475,M,48,48.0,1,1,0,0,387570,1.0,9897,140,1.78,18708.5
5128,808,1996-04-11,215616,48,4492.0,D,69,monthly,303.0,321698,165169.0,156529.0,52200.0,0.0,1659.0,75.0,14.0,2,61,15129.0,11700.0,0.0,15.0,73.0,267750,31,163510.0,104240.0,8641,M,42,42.0,1,0,0,0,42821,0.484,8173,124,7.01,1358.0
5130,813,1994-05-11,24312,12,2026.0,A,16,monthly,455.0,386064,207261.0,178803.0,0.0,0.0,1897.0,165.0,0.0,0,78,10215.0,0.0,0.0,15.0,139.0,384002,52,205364.0,178638.0,28462,F,44,44.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
5131,816,1995-01-08,48624,24,2026.0,A,52,monthly,521.0,1425159,736575.0,688584.0,54168.0,0.0,4091.0,180.0,0.0,0,117,99429.0,4514.0,0.0,15.0,335.0,1366720,76,732484.0,634236.0,47994,M,38,38.0,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
5132,817,1995-02-17,538500,60,8975.0,C,5,monthly,336.0,492998,258133.0,234865.0,32235.0,0.0,1277.0,90.0,0.0,0,58,29120.0,4605.0,0.0,15.0,108.0,459396,35,256856.0,202540.0,23271,M,39,39.0,1,0,0,0,95616,0.514,9307,118,4.115,2828.0
5134,825,1997-02-02,53076,12,4423.0,A,19,monthly,333.0,385933,203498.0,182435.0,55410.0,0.0,1762.0,105.0,0.0,0,65,29330.0,9235.0,0.0,15.0,91.0,328656,41,201736.0,126920.0,21080,M,51,51.0,1,1,0,0,51428,0.527,8402,120,3.54,1049.0
5136,846,1996-07-28,187104,24,7796.0,A,72,monthly,141.0,490538,288708.0,201830.0,0.0,0.0,877.0,30.0,0.0,0,25,72615.0,0.0,0.0,15.0,246.0,489631,19,287831.0,201800.0,86878,F,22,22.0,1,1,0,0,226122,0.626,8994,110,4.295,9440.0
5138,854,1995-05-30,87216,48,1817.0,C,62,monthly,616.0,438191,232491.0,205700.0,6112.0,45488.0,2282.0,225.0,0.0,0,148,8745.0,382.0,2843.0,15.0,106.0,384084,82,230209.0,153875.0,29638,F,45,45.0,1,0,0,0,145688,0.40700000000000003,8544,109,1.53,2812.5
5140,873,1998-02-24,178500,60,2975.0,C,73,monthly,304.0,173632,96514.0,77118.0,5268.0,11055.0,830.0,75.0,0.0,0,64,9564.0,878.0,2211.0,15.0,62.0,156404,39,95684.0,60720.0,19398,F,28,28.0,1,0,0,0,182027,0.564,8746,90,3.52,4394.0
5145,915,1995-09-16,309552,48,6449.0,C,72,monthly,241.0,610018,330909.0,279109.0,57164.0,0.0,1310.0,45.0,0.0,0,35,47206.0,14291.0,0.0,15.0,199.0,551499,21,329599.0,221900.0,51799,M,64,64.0,1,0,0,0,226122,0.626,8994,110,4.295,9440.0
5147,938,1998-05-21,22260,60,371.0,C,70,monthly,159.0,48878,40078.0,8800.0,0.0,0.0,363.0,0.0,0.0,0,15,4500.0,0.0,0.0,0.0,119.0,48515,11,39715.0,8800.0,31278,F,59,59.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
5148,940,1996-05-29,284280,60,4738.0,C,37,monthly,561.0,1390313,742463.0,647850.0,0.0,0.0,4340.0,195.0,0.0,0,94,18315.0,0.0,0.0,15.0,264.0,1385778,64,738123.0,647655.0,94617,F,41,40.5,2,0,1,0,114006,0.623,9065,123,4.895,4156.5
5151,960,1995-05-24,189060,60,3151.0,C,4,after_transaction,203.0,535004,301975.0,233029.0,17820.0,0.0,1693.0,200.0,0.0,0,30,54949.0,5940.0,0.0,100.0,343.0,515291,19,300282.0,215009.0,68946,F,41,41.0,1,1,0,0,149893,0.674,9753,109,4.824999999999999,5568.0
5154,993,1998-07-01,108720,60,1812.0,C,6,monthly,594.0,636940,339137.0,297803.0,0.0,0.0,4892.0,75.0,0.0,0,64,68237.0,0.0,0.0,30.0,521.0,631973,40,334245.0,297728.0,41353,F,33,33.0,1,1,0,0,77963,0.515,8546,126,3.46,2880.0
5158,1004,1998-04-11,188532,36,5237.0,C,70,monthly,648.0,2292664,1157402.0,1135262.0,0.0,0.0,4466.0,240.0,0.0,0,148,31348.0,0.0,0.0,15.0,202.0,2287958,113,1152936.0,1135022.0,22145,F,24,24.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
5160,1011,1995-12-18,204000,60,3400.0,C,45,monthly,366.0,500631,269310.0,231321.0,56680.0,0.0,1572.0,105.0,0.0,0,65,31500.0,7085.0,0.0,15.0,126.0,442274,39,267738.0,174536.0,45078,M,55,55.0,1,0,0,0,77917,0.535,8390,132,2.545,2101.0
5161,1012,1994-10-28,98184,24,4091.0,A,65,monthly,111.0,130356,99656.0,30700.0,0.0,0.0,976.0,0.0,0.0,0,14,18200.0,0.0,0.0,0.0,482.0,129380,8,98680.0,30700.0,68956,F,54,54.0,1,0,0,0,114200,0.43700000000000006,8403,105,5.71,2437.5
5169,1068,1998-09-24,253200,60,4220.0,C,52,monthly,586.0,792845,420722.0,372123.0,71055.0,9480.0,2611.0,210.0,0.0,0,134,26713.0,4737.0,632.0,15.0,159.0,709489,72,418111.0,291378.0,48603,M,63,63.0,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
5170,1071,1994-01-20,253200,60,4220.0,C,68,weekly,255.0,488407,284779.0,203628.0,0.0,0.0,1714.0,150.0,0.0,0,41,7173.0,0.0,0.0,30.0,70.0,486543,28,283065.0,203478.0,81151,F,49,49.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
5172,1083,1998-04-16,50976,36,1416.0,C,45,monthly,496.0,447864,234586.0,213278.0,23160.0,56563.0,1934.0,180.0,0.0,0,123,10731.0,1930.0,4351.0,15.0,82.0,366027,70,232652.0,133375.0,21313,M,20,20.0,1,0,0,0,77917,0.535,8390,132,2.545,2101.0
5174,1093,1997-06-13,385104,48,8023.0,C,54,monthly,516.0,1736448,894090.0,842358.0,133393.0,0.0,2554.0,180.0,0.0,0,102,54100.0,10261.0,0.0,15.0,134.0,1600321,61,891536.0,708785.0,62000,F,43,43.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
5176,1106,1994-11-12,192552,24,8023.0,B,20,weekly,440.0,294494,158359.0,136135.0,0.0,0.0,1465.0,180.0,0.0,0,51,9230.0,0.0,0.0,30.0,110.0,292849,31,156894.0,135955.0,22256,F,36,36.0,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
5189,1166,1994-02-07,149040,48,3105.0,A,11,monthly,292.0,360832,189932.0,170900.0,21985.0,0.0,1223.0,75.0,0.0,0,54,29912.0,4397.0,0.0,15.0,127.0,337549,35,188709.0,148840.0,19048,F,31,31.0,1,0,0,0,75637,0.365,9622,154,0.495,3502.0
5206,1242,1997-09-07,128544,24,5356.0,C,74,after_transaction,287.0,468524,249804.0,218720.0,24550.0,2110.0,1786.0,600.0,0.0,0,60,13844.0,4910.0,422.0,100.0,107.0,439478,34,248018.0,191460.0,31182,F,48,48.0,1,0,0,0,323870,1.0,10673,100,5.07,18564.5
5207,1244,1997-02-28,35904,48,748.0,C,68,monthly,296.0,117854,67757.0,50097.0,4515.0,1624.0,777.0,60.0,0.0,0,59,8060.0,903.0,406.0,15.0,81.0,110878,38,66980.0,43898.0,17662,M,53,53.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
5208,1247,1995-03-16,99696,48,2077.0,D,25,monthly,646.0,1265418,649191.0,616227.0,0.0,0.0,2729.0,180.0,0.0,1,108,26215.0,0.0,0.0,15.0,66.0,1262509,81,646462.0,616047.0,32967,F,28,28.0,1,0,0,0,88757,0.617,8554,113,2.54,2020.0
5209,1250,1996-11-25,182640,48,3805.0,C,62,monthly,242.0,369105,196501.0,172604.0,183.0,0.0,938.0,45.0,0.0,0,40,23345.0,61.0,0.0,15.0,163.0,367939,27,195563.0,172376.0,23898,F,57,57.0,1,0,0,0,145688,0.40700000000000003,8544,109,1.53,2812.5
5210,1252,1997-04-01,148140,36,4115.0,C,13,weekly,615.0,1047138,536681.0,510457.0,0.0,0.0,3189.0,480.0,0.0,0,118,31605.0,0.0,0.0,30.0,138.0,1043469,82,533492.0,509977.0,26252,F,37,37.0,1,0,0,0,53921,0.413,8598,123,2.98,1736.0
5212,1256,1995-05-29,71064,36,1974.0,A,38,monthly,403.0,421099,226247.0,194852.0,10602.0,0.0,1539.0,120.0,0.0,0,86,16483.0,1178.0,0.0,15.0,139.0,408838,57,224708.0,184130.0,31397,F,53,53.0,1,0,0,0,85852,0.598,8965,104,7.615,2737.5
5214,1270,1997-07-01,74772,36,2077.0,C,55,after_transaction,389.0,347888,190533.0,157355.0,33296.0,0.0,1505.0,900.0,0.0,0,71,8362.0,4162.0,0.0,200.0,211.0,312187,41,189028.0,123159.0,33277,M,39,39.0,1,0,0,0,157042,0.33899999999999997,8743,111,2.115,3776.5
5221,1284,1998-12-05,52512,12,4376.0,C,55,monthly,521.0,1086787,563909.0,522878.0,0.0,0.0,2980.0,165.0,0.0,0,87,4615.0,0.0,0.0,15.0,171.0,1083642,63,560929.0,522713.0,41050,M,55,55.0,1,0,0,0,157042,0.33899999999999997,8743,111,2.115,3776.5
5226,1318,1998-10-11,185544,36,5154.0,C,56,monthly,293.0,265128,139411.0,125717.0,17354.0,2015.0,924.0,30.0,0.0,0,35,39966.0,17354.0,2015.0,15.0,93.0,244805,23,138487.0,106318.0,13694,M,60,60.0,1,0,0,0,124605,0.46,8772,126,4.79,3006.0
5229,1329,1997-09-06,23520,12,1960.0,A,53,monthly,355.0,276326,147706.0,128620.0,23576.0,0.0,1073.0,105.0,0.0,0,63,10964.0,3368.0,0.0,15.0,84.0,251572,38,146633.0,104939.0,19102,M,58,56.5,2,0,0,0,107911,0.509,8240,99,3.0300000000000002,1876.5
5236,1374,1997-09-15,389136,48,8107.0,C,53,monthly,354.0,1192216,635491.0,556725.0,0.0,0.0,2419.0,105.0,0.0,0,62,68232.0,0.0,0.0,15.0,213.0,1189692,44,633072.0,556620.0,88470,M,32,32.0,1,0,0,0,107911,0.509,8240,99,3.0300000000000002,1876.5
5237,1375,1995-08-29,45336,24,1889.0,A,19,monthly,489.0,683486,361661.0,321825.0,71160.0,0.0,2670.0,165.0,0.0,0,90,20745.0,5930.0,0.0,15.0,197.0,609491,52,358991.0,250500.0,40940,M,42,42.0,1,0,0,0,51428,0.527,8402,120,3.54,1049.0
5241,1389,1998-09-02,125472,24,5228.0,C,34,monthly,393.0,1061624,539447.0,522177.0,70136.0,0.0,2088.0,180.0,0.0,0,97,14291.0,6376.0,0.0,15.0,90.0,989220,61,537359.0,451861.0,17288,M,59,59.0,1,0,0,0,125236,0.877,9675,100,7.04,5256.5
5245,1407,1998-01-17,125472,24,5228.0,C,19,after_transaction,281.0,1160930,601541.0,559389.0,119056.0,0.0,2342.0,800.0,0.0,0,77,116382.0,14882.0,0.0,100.0,365.0,1038732,52,599199.0,439533.0,42152,F,53,54.0,2,0,0,0,51428,0.527,8402,120,3.54,1049.0
5253,1447,1997-06-03,100080,48,2085.0,C,65,monthly,103.0,53742,41842.0,11900.0,0.0,0.0,218.0,0.0,0.0,0,10,8800.0,0.0,0.0,0.0,114.0,53524,7,41624.0,11900.0,29943,F,34,34.0,1,0,0,0,114200,0.43700000000000006,8403,105,5.71,2437.5
5260,1480,1998-01-19,123300,36,3425.0,C,41,weekly,565.0,1194540,622070.0,572470.0,0.0,0.0,2748.0,300.0,0.0,0,90,89358.0,0.0,0.0,30.0,289.0,1191492,66,619322.0,572170.0,49599,F,54,54.0,1,1,0,0,118650,0.856,9832,114,3.89,5958.0
5265,1498,1998-10-07,165780,60,2763.0,C,62,weekly,607.0,1096102,569733.0,526369.0,0.0,0.0,6137.0,270.0,24.0,2,113,29330.0,0.0,0.0,30.0,518.0,1089671,66,563596.0,526075.0,68800,M,48,48.0,1,0,0,0,145688,0.40700000000000003,8544,109,1.53,2812.5
5269,1527,1994-11-19,164052,36,4557.0,B,31,after_transaction,367.0,767602,394207.0,373395.0,0.0,0.0,1984.0,1000.0,0.0,1,65,13900.0,0.0,0.0,100.0,111.0,764618,42,392223.0,372395.0,20811,F,24,24.0,1,0,0,0,51313,0.5920000000000001,8930,108,3.85,1390.0
5270,1528,1997-07-21,191088,48,3981.0,C,50,monthly,408.0,528259,283324.0,244935.0,77300.0,0.0,1977.0,135.0,0.0,0,78,22015.0,7700.0,0.0,15.0,135.0,448847,47,281347.0,167500.0,38392,M,37,37.0,1,0,0,0,102609,0.52,8187,94,5.125,2128.5
5281,1580,1997-11-27,194256,24,8094.0,C,69,monthly,689.0,1716845,892291.0,824554.0,0.0,0.0,4002.0,270.0,0.0,0,134,24715.0,0.0,0.0,15.0,275.0,1712573,95,888289.0,824284.0,67743,M,31,31.0,1,1,0,0,42821,0.484,8173,124,7.01,1358.0
5282,1583,1996-08-24,388512,48,8094.0,D,69,after_transaction,646.0,878331,458515.0,419816.0,0.0,0.0,1570.0,2000.0,37.0,4,120,42600.0,0.0,0.0,100.0,109.0,874724,75,456945.0,417779.0,38697,F,30,30.0,1,0,0,0,42821,0.484,8173,124,7.01,1358.0
5285,1603,1994-02-06,78936,12,6578.0,A,1,monthly,273.0,166213,95407.0,70806.0,9436.0,0.0,998.0,75.0,0.0,0,51,12161.0,2359.0,0.0,15.0,117.0,155704,33,94409.0,61295.0,24601,F,42,42.0,1,0,0,0,1204953,1.0,12541,167,0.315,92392.0
5287,1638,1998-01-26,64224,24,2676.0,C,6,weekly,440.0,380289,201973.0,178316.0,38996.0,0.0,3491.0,120.0,0.0,0,47,12279.0,9749.0,0.0,30.0,120.0,337682,25,198482.0,139200.0,23653,M,62,59.5,2,0,0,0,77963,0.515,8546,126,3.46,2880.0
5293,1656,1998-10-29,189792,48,3954.0,C,47,monthly,635.0,1054831,546214.0,508617.0,193808.0,0.0,3279.0,240.0,0.0,0,128,18128.0,12113.0,0.0,15.0,146.0,857504,76,542935.0,314569.0,37600,M,59,59.0,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
5301,1698,1996-07-06,141948,36,3943.0,C,68,monthly,114.0,89641,68441.0,21200.0,0.0,0.0,347.0,0.0,0.0,0,10,16200.0,0.0,0.0,0.0,177.0,89294,7,68094.0,21200.0,47240,F,49,49.0,1,1,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
