loan_amount,loan_duration,loan_payments,loan_status,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,count_other_trans,sum_other_amount_in,sum_other_amount_out,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
88440,12,7370.0,A,after_transaction,179.0,2571.927374301676,1506.3798882681565,1065.5474860335196,0.0,0.0,8.474860335195531,2.2346368715083798,0.0,0.0,0.17318435754189945,16600.0,0.0,0.0,100.0,283.0,2561.217877094972,21,1497.9050279329608,1063.3128491620112,79008,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5
104808,12,8734.0,A,monthly,186.0,1071.3870967741937,611.005376344086,460.3817204301075,67.26881720430107,7.903225806451613,3.2903225806451615,0.08064516129032258,0.0,0.0,0.16129032258064516,23723.0,6256.0,735.0,15.0,168.0,992.8440860215054,20,607.7150537634409,385.1290322580645,28015,M,60,57.0,2,0,0,0,125832,0.483,8512,102,3.81,2175.0
27456,12,2288.0,A,weekly,241.0,3672.298755186722,1911.4232365145228,1760.8755186721992,94.68879668049793,2.012448132780083,6.410788381742739,0.7468879668049793,0.0,0.0,0.3112033195020747,189927.0,4564.0,97.0,30.0,319.0,3568.4398340248963,51,1905.01244813278,1663.4273858921163,36281,M,32,32.0,1,0,0,0,161227,0.6970000000000001,8678,102,5.735,4787.5
109344,12,9112.0,C,monthly,504.0,1384.251984126984,758.2519841269841,626.0,230.28571428571428,0.0,5.692460317460317,0.35714285714285715,0.0,0.0,0.18452380952380953,33071.0,17856.0,0.0,15.0,236.0,1147.9166666666667,52,752.5595238095239,395.35714285714283,66657,F,55,55.0,1,1,0,0,285387,0.899,10177,81,7.175,9993.0
160920,36,4470.0,C,monthly,359.0,1827.623955431755,981.1142061281337,846.5097493036212,101.6267409470752,0.0,7.860724233983287,0.3342618384401114,0.0,0.0,0.16434540389972144,32527.0,5212.0,0.0,15.0,189.0,1717.8022284122562,32,973.2534818941505,744.5487465181059,48340,M,28,28.0,1,1,0,0,85852,0.598,8965,104,7.615,2737.5
123696,48,2577.0,A,monthly,336.0,1625.4494047619048,850.2053571428571,775.2440476190476,47.375,0.0,6.455357142857143,0.26785714285714285,0.0,0.0,0.18154761904761904,5942.0,2653.0,0.0,15.0,114.0,1571.3511904761904,39,843.75,727.6011904761905,25202,M,59,59.0,1,0,0,0,124605,0.46,8772,126,4.79,3006.0
112752,36,3132.0,C,monthly,674.0,1069.0341246290802,570.8011869436202,498.23293768545994,101.56379821958457,0.0,5.34272997032641,0.37833827893175076,0.0,0.0,0.1913946587537092,16278.0,3803.0,0.0,15.0,213.0,961.7492581602373,73,565.4584569732938,396.2908011869436,48917,F,43,43.0,1,1,0,0,161227,0.6970000000000001,8678,102,5.735,4787.5
91248,48,1901.0,C,monthly,579.0,1353.993091537133,689.8307426597582,664.1623488773748,0.0,0.0,3.6580310880829017,0.3626943005181347,0.0,0.0,0.17098445595854922,24635.0,0.0,0.0,15.0,104.0,1349.972366148532,67,686.1727115716753,663.7996545768566,14867,F,26,26.0,1,0,0,0,177686,0.748,10045,135,1.555,6449.5
66840,24,2785.0,C,after_transaction,463.0,2546.4578833693304,1297.7149028077754,1248.742980561555,325.2721382289417,0.0,4.727861771058316,2.375809935205184,0.0,0.0,0.20302375809935205,50091.0,13691.0,0.0,100.0,176.0,2214.082073434125,57,1292.987041036717,921.0950323974082,22774,F,60,62.0,2,0,0,0,58796,0.519,9045,124,3.35,1862.0
369000,60,6150.0,C,weekly,633.0,1635.7187993680884,864.8925750394944,770.826224328594,30.05687203791469,12.48657187993681,5.781990521327014,0.9004739336492891,0.0,0.0,0.27014218009478674,13115.0,1057.0,832.0,30.0,190.0,1586.4928909952607,95,859.1105845181675,727.3823064770932,59545,F,25,25.0,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
331584,48,6908.0,C,monthly,595.0,1574.420168067227,833.8403361344538,740.5798319327731,0.0,0.0,5.188235294117647,0.37815126050420167,0.0,0.0,0.16974789915966387,24115.0,0.0,0.0,15.0,182.0,1568.853781512605,67,828.6521008403362,740.2016806722689,55495,F,26,29.0,2,0,0,0,95907,0.591,8388,87,2.67,1663.0
468060,60,7801.0,C,weekly,470.0,3302.242553191489,1752.436170212766,1549.8063829787234,95.6531914893617,0.0,8.774468085106383,0.7021276595744681,0.0,0.0,0.23829787234042554,38265.0,4087.0,0.0,30.0,287.0,3197.1127659574468,75,1743.6617021276595,1453.4510638297872,102735,F,52,53.0,2,1,0,0,112709,0.735,8369,117,2.005,2736.0
100980,60,1683.0,C,monthly,385.0,956.5688311688311,539.5012987012987,417.0675324675325,110.78181818181818,0.0,4.316883116883117,0.3116883116883117,0.0,0.0,0.18181818181818182,15754.0,4739.0,0.0,15.0,162.0,841.1584415584416,41,535.1844155844155,305.97402597402595,47138,M,34,34.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
187224,24,7801.0,B,monthly,504.0,1891.7857142857142,996.3174603174604,895.468253968254,0.0,0.0,5.283730158730159,0.35714285714285715,0.0,0.001984126984126984,0.1746031746031746,8230.0,0.0,0.0,30.0,165.0,1886.1448412698412,58,991.0337301587301,895.1111111111111,50847,M,52,52.0,1,0,0,0,114200,0.43700000000000006,8403,105,5.71,2437.5
42816,12,3568.0,C,monthly,458.0,594.9868995633187,317.9017467248908,277.085152838428,101.7467248908297,0.0,2.5087336244541483,0.36026200873362446,0.0,0.0,0.185589519650655,7075.0,4660.0,0.0,15.0,69.0,490.3711790393013,49,315.3930131004367,174.97816593886463,18697,M,62,60.0,2,0,0,0,226122,0.626,8994,110,4.295,9440.0
230400,60,3840.0,C,monthly,446.0,4743.008968609865,2426.7421524663678,2316.2668161434976,248.83632286995515,0.05829596412556054,10.152466367713005,0.47085201793721976,0.0,0.0,0.37668161434977576,46296.0,8537.0,2.0,15.0,259.0,4483.491031390135,113,2416.5896860986545,2066.9013452914796,49277,M,38,38.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
252060,60,4201.0,D,monthly,232.0,3056.6163793103447,1679.375,1377.2413793103449,161.57327586206895,0.0,5.504310344827586,0.3232758620689655,0.0,0.0,0.2629310344827586,43188.0,7497.0,0.0,15.0,202.0,2889.2155172413795,44,1673.8706896551723,1215.344827586207,70097,F,34,34.0,1,0,0,0,1204953,1.0,12541,167,0.315,92392.0
84288,48,1756.0,C,monthly,446.0,1132.560538116592,610.5874439461884,521.9730941704036,130.60538116591928,0.0,3.39237668161435,0.336322869955157,0.0,0.0,0.1905829596412556,7440.0,5825.0,0.0,15.0,112.0,998.2264573991031,51,607.1950672645739,391.03139013452915,39526,F,42,42.0,1,0,0,0,45714,0.556,8843,113,3.2,853.0
357840,48,7455.0,D,monthly,102.0,99.01960784313725,99.01960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,99.01960784313725,2,99.01960784313725,0.0,10100,F,58,58.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
196800,24,8200.0,D,monthly,199.0,3035.1608040201004,1613.4773869346734,1421.6834170854272,0.0,0.0,4.899497487437186,0.07537688442211055,0.0,0.0,0.11557788944723618,48215.0,0.0,0.0,15.0,192.0,3030.185929648241,17,1608.5778894472362,1421.608040201005,38166,F,39,39.0,1,0,0,0,112065,0.6940000000000001,11277,127,1.3199999999999998,5083.0
262980,60,4383.0,C,monthly,369.0,1109.4227642276423,657.7967479674796,451.6260162601626,0.0,0.0,5.065040650406504,0.4065040650406504,0.0,0.0,0.15176151761517614,8615.0,0.0,0.0,15.0,138.0,1103.9512195121952,35,652.7317073170732,451.219512195122,76081,F,33,33.0,1,0,0,0,53921,0.413,8598,123,2.98,1736.0
210384,48,4383.0,C,monthly,483.0,955.9089026915113,526.0662525879917,429.84265010351965,80.17391304347827,0.0,5.380952380952381,0.18633540372670807,0.0,0.0,0.12215320910973085,28369.0,6454.0,0.0,15.0,201.0,870.1677018633541,33,520.6853002070393,349.4824016563147,46478,F,43,43.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
91152,24,3798.0,A,monthly,465.0,1565.3397849462365,825.010752688172,740.3290322580646,0.0,0.0,5.397849462365591,0.3225806451612903,0.0,0.0,0.16559139784946236,40615.0,0.0,0.0,15.0,228.0,1559.6193548387096,53,819.6129032258065,740.0064516129032,39379,M,57,57.0,1,1,0,0,105058,0.81,9272,118,3.01,4422.5
12540,12,1045.0,A,monthly,623.0,1025.486356340289,556.529695024077,468.95666131621186,94.76725521669341,22.993579454253613,5.41091492776886,0.3611556982343499,0.0,0.0,0.24398073836276082,13688.0,3936.0,955.0,15.0,213.0,901.9534510433386,88,551.1187800963082,350.8346709470305,54562,F,59,61.0,2,1,0,0,67298,0.43799999999999994,8561,110,0.9450000000000001,1078.0
102240,60,1704.0,C,monthly,607.0,777.6326194398682,417.4514003294893,360.1812191103789,157.1169686985173,0.0,4.161449752883032,0.3953871499176277,0.0,0.0,0.20757825370675453,12673.0,6358.0,0.0,15.0,150.0,615.9588138385502,75,413.28995057660626,202.66886326194398,34783,F,54,56.5,2,1,0,0,109164,0.636,8757,96,3.625,2341.5
76944,12,6412.0,A,monthly,535.0,1711.233644859813,910.9943925233645,800.2392523364485,14.927102803738318,124.20747663551401,3.8672897196261684,0.2803738317757009,0.0,0.0,0.205607476635514,64929.0,726.0,6041.0,15.0,241.0,1567.9514018691589,64,907.1271028037384,660.8242990654205,59256,F,43,43.0,1,1,0,0,1204953,1.0,12541,167,0.315,92392.0
156096,36,4336.0,C,weekly,187.0,1681.48128342246,916.8716577540107,764.6096256684492,79.0909090909091,0.0,7.262032085561497,0.32085561497326204,0.0,0.0,0.17647058823529413,34525.0,7395.0,0.0,30.0,222.0,1594.807486631016,23,909.6096256684492,685.1978609625669,28472,M,47,47.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
73056,48,1522.0,C,monthly,290.0,430.05172413793105,252.17241379310346,177.8793103448276,37.12068965517241,0.0,2.9793103448275864,0.25862068965517243,0.0,0.0,0.17586206896551723,8609.0,2153.0,0.0,15.0,98.0,389.69310344827585,32,249.19310344827585,140.5,21546,M,29,25.5,2,0,0,0,119895,0.899,10446,90,8.35,4845.0
208128,48,4336.0,B,monthly,439.0,1376.5398633257403,781.0615034168565,595.4783599088838,0.0,0.0,4.1548974943052395,0.2733485193621868,0.0,0.0,0.14578587699316628,19515.0,0.0,0.0,15.0,142.0,1372.111617312073,43,776.9066059225513,595.2050113895216,81475,M,48,48.0,1,1,0,0,387570,1.0,9897,140,1.78,18708.5
215616,48,4492.0,D,monthly,303.0,1061.7095709570958,545.1122112211222,516.5973597359736,172.27722772277227,0.0,5.475247524752476,0.24752475247524752,0.0462046204620462,0.006600660066006601,0.20132013201320131,15129.0,11700.0,0.0,15.0,73.0,883.6633663366337,31,539.6369636963697,344.02640264026405,8641,M,42,42.0,1,0,0,0,42821,0.484,8173,124,7.01,1358.0
24312,12,2026.0,A,monthly,455.0,848.4923076923077,455.51868131868133,392.97362637362636,0.0,0.0,4.1692307692307695,0.3626373626373626,0.0,0.0,0.17142857142857143,10215.0,0.0,0.0,15.0,139.0,843.9604395604396,52,451.3494505494505,392.610989010989,28462,F,44,44.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
48624,24,2026.0,A,monthly,521.0,2735.429942418426,1413.7715930902111,1321.658349328215,103.96928982725528,0.0,7.8522072936660265,0.345489443378119,0.0,0.0,0.22456813819577734,99429.0,4514.0,0.0,15.0,335.0,2623.2629558541266,76,1405.9193857965452,1217.3435700575815,47994,M,38,38.0,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
538500,60,8975.0,C,monthly,336.0,1467.2559523809523,768.2529761904761,699.0029761904761,95.9375,0.0,3.800595238095238,0.26785714285714285,0.0,0.0,0.17261904761904762,29120.0,4605.0,0.0,15.0,108.0,1367.25,35,764.452380952381,602.797619047619,23271,M,39,39.0,1,0,0,0,95616,0.514,9307,118,4.115,2828.0
53076,12,4423.0,A,monthly,333.0,1158.957957957958,611.105105105105,547.8528528528528,166.3963963963964,0.0,5.291291291291292,0.3153153153153153,0.0,0.0,0.19519519519519518,29330.0,9235.0,0.0,15.0,91.0,986.9549549549549,41,605.8138138138138,381.14114114114113,21080,M,51,51.0,1,1,0,0,51428,0.527,8402,120,3.54,1049.0
187104,24,7796.0,A,monthly,141.0,3478.9929078014184,2047.5744680851064,1431.4184397163122,0.0,0.0,6.219858156028369,0.2127659574468085,0.0,0.0,0.1773049645390071,72615.0,0.0,0.0,15.0,246.0,3472.5602836879434,19,2041.354609929078,1431.2056737588653,86878,F,22,22.0,1,1,0,0,226122,0.626,8994,110,4.295,9440.0
87216,48,1817.0,C,monthly,616.0,711.349025974026,377.42045454545456,333.92857142857144,9.922077922077921,73.84415584415585,3.7045454545454546,0.3652597402597403,0.0,0.0,0.24025974025974026,8745.0,382.0,2843.0,15.0,106.0,623.512987012987,82,373.71590909090907,249.79707792207793,29638,F,45,45.0,1,0,0,0,145688,0.40700000000000003,8544,109,1.53,2812.5
178500,60,2975.0,C,monthly,304.0,571.1578947368421,317.48026315789474,253.67763157894737,17.32894736842105,36.36513157894737,2.7302631578947367,0.24671052631578946,0.0,0.0,0.21052631578947367,9564.0,878.0,2211.0,15.0,62.0,514.4868421052631,39,314.75,199.73684210526315,19398,F,28,28.0,1,0,0,0,182027,0.564,8746,90,3.52,4394.0
309552,48,6449.0,C,monthly,241.0,2531.195020746888,1373.0663900414938,1158.1286307053942,237.19502074688796,0.0,5.435684647302905,0.18672199170124482,0.0,0.0,0.14522821576763487,47206.0,14291.0,0.0,15.0,199.0,2288.377593360996,21,1367.630705394191,920.7468879668049,51799,M,64,64.0,1,0,0,0,226122,0.626,8994,110,4.295,9440.0
22260,60,371.0,C,monthly,159.0,307.40880503144655,252.06289308176102,55.34591194968554,0.0,0.0,2.2830188679245285,0.0,0.0,0.0,0.09433962264150944,4500.0,0.0,0.0,0.0,119.0,305.12578616352204,11,249.77987421383648,55.34591194968554,31278,F,59,59.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
284280,60,4738.0,C,monthly,561.0,2478.276292335116,1323.463458110517,1154.8128342245989,0.0,0.0,7.736185383244207,0.34759358288770054,0.0,0.0,0.16755793226381463,18315.0,0.0,0.0,15.0,264.0,2470.192513368984,64,1315.7272727272727,1154.4652406417113,94617,F,41,40.5,2,0,1,0,114006,0.623,9065,123,4.895,4156.5
189060,60,3151.0,C,after_transaction,203.0,2635.487684729064,1487.5615763546798,1147.9261083743843,87.78325123152709,0.0,8.339901477832512,0.9852216748768473,0.0,0.0,0.1477832512315271,54949.0,5940.0,0.0,100.0,343.0,2538.3793103448274,19,1479.2216748768474,1059.1576354679803,68946,F,41,41.0,1,1,0,0,149893,0.674,9753,109,4.824999999999999,5568.0
108720,60,1812.0,C,monthly,594.0,1072.2895622895624,570.9377104377104,501.35185185185185,0.0,0.0,8.235690235690235,0.12626262626262627,0.0,0.0,0.10774410774410774,68237.0,0.0,0.0,30.0,521.0,1063.9276094276095,40,562.7020202020202,501.2255892255892,41353,F,33,33.0,1,1,0,0,77963,0.515,8546,126,3.46,2880.0
188532,36,5237.0,C,monthly,648.0,3538.061728395062,1786.1141975308642,1751.9475308641975,0.0,0.0,6.8919753086419755,0.37037037037037035,0.0,0.0,0.22839506172839505,31348.0,0.0,0.0,15.0,202.0,3530.7993827160494,113,1779.2222222222222,1751.5771604938273,22145,F,24,24.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
204000,60,3400.0,C,monthly,366.0,1367.844262295082,735.8196721311475,632.0245901639345,154.86338797814207,0.0,4.295081967213115,0.28688524590163933,0.0,0.0,0.17759562841530055,31500.0,7085.0,0.0,15.0,126.0,1208.3989071038252,39,731.5245901639345,476.8743169398907,45078,M,55,55.0,1,0,0,0,77917,0.535,8390,132,2.545,2101.0
98184,24,4091.0,A,monthly,111.0,1174.3783783783783,897.8018018018018,276.5765765765766,0.0,0.0,8.792792792792794,0.0,0.0,0.0,0.12612612612612611,18200.0,0.0,0.0,0.0,482.0,1165.5855855855855,8,889.009009009009,276.5765765765766,68956,F,54,54.0,1,0,0,0,114200,0.43700000000000006,8403,105,5.71,2437.5
253200,60,4220.0,C,monthly,586.0,1352.9778156996588,717.9556313993174,635.0221843003413,121.25426621160409,16.177474402730375,4.455631399317406,0.3583617747440273,0.0,0.0,0.22866894197952217,26713.0,4737.0,632.0,15.0,159.0,1210.7320819112629,72,713.5,497.2320819112628,48603,M,63,63.0,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
253200,60,4220.0,C,weekly,255.0,1915.321568627451,1116.7803921568627,798.5411764705882,0.0,0.0,6.7215686274509805,0.5882352941176471,0.0,0.0,0.1607843137254902,7173.0,0.0,0.0,30.0,70.0,1908.0117647058823,28,1110.0588235294117,797.9529411764706,81151,F,49,49.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
50976,36,1416.0,C,monthly,496.0,902.9516129032259,472.9556451612903,429.9959677419355,46.693548387096776,114.0383064516129,3.899193548387097,0.3629032258064516,0.0,0.0,0.24798387096774194,10731.0,1930.0,4351.0,15.0,82.0,737.9576612903226,70,469.05645161290323,268.90120967741933,21313,M,20,20.0,1,0,0,0,77917,0.535,8390,132,2.545,2101.0
385104,48,8023.0,C,monthly,516.0,3365.2093023255816,1732.7325581395348,1632.4767441860465,258.51356589147287,0.0,4.949612403100775,0.3488372093023256,0.0,0.0,0.19767441860465115,54100.0,10261.0,0.0,15.0,134.0,3101.3972868217056,61,1727.7829457364342,1373.6143410852712,62000,F,43,43.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
192552,24,8023.0,B,weekly,440.0,669.3045454545454,359.9068181818182,309.39772727272725,0.0,0.0,3.3295454545454546,0.4090909090909091,0.0,0.0,0.1159090909090909,9230.0,0.0,0.0,30.0,110.0,665.5659090909091,31,356.5772727272727,308.9886363636364,22256,F,36,36.0,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
149040,48,3105.0,A,monthly,292.0,1235.7260273972602,650.4520547945206,585.2739726027397,75.29109589041096,0.0,4.188356164383562,0.2568493150684932,0.0,0.0,0.18493150684931506,29912.0,4397.0,0.0,15.0,127.0,1155.9897260273972,35,646.263698630137,509.7260273972603,19048,F,31,31.0,1,0,0,0,75637,0.365,9622,154,0.495,3502.0
128544,24,5356.0,C,after_transaction,287.0,1632.4878048780488,870.397212543554,762.0905923344948,85.54006968641114,7.351916376306621,6.2229965156794425,2.0905923344947737,0.0,0.0,0.20905923344947736,13844.0,4910.0,422.0,100.0,107.0,1531.2822299651568,34,864.1742160278745,667.1080139372822,31182,F,48,48.0,1,0,0,0,323870,1.0,10673,100,5.07,18564.5
35904,48,748.0,C,monthly,296.0,398.1554054054054,228.90878378378378,169.2466216216216,15.253378378378379,5.486486486486487,2.625,0.20270270270270271,0.0,0.0,0.19932432432432431,8060.0,903.0,406.0,15.0,81.0,374.5878378378378,38,226.28378378378378,148.30405405405406,17662,M,53,53.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
99696,48,2077.0,D,monthly,646.0,1958.8513931888544,1004.9396284829721,953.9117647058823,0.0,0.0,4.224458204334366,0.2786377708978328,0.0,0.0015479876160990713,0.16718266253869968,26215.0,0.0,0.0,15.0,66.0,1954.3482972136223,81,1000.7151702786377,953.6331269349845,32967,F,28,28.0,1,0,0,0,88757,0.617,8554,113,2.54,2020.0
182640,48,3805.0,C,monthly,242.0,1525.2272727272727,811.9876033057851,713.2396694214876,0.756198347107438,0.0,3.87603305785124,0.1859504132231405,0.0,0.0,0.1652892561983471,23345.0,61.0,0.0,15.0,163.0,1520.409090909091,27,808.1115702479339,712.297520661157,23898,F,57,57.0,1,0,0,0,145688,0.40700000000000003,8544,109,1.53,2812.5
148140,36,4115.0,C,weekly,615.0,1702.6634146341464,872.6520325203252,830.0113821138211,0.0,0.0,5.185365853658537,0.7804878048780488,0.0,0.0,0.191869918699187,31605.0,0.0,0.0,30.0,138.0,1696.6975609756098,82,867.4666666666667,829.2308943089431,26252,F,37,37.0,1,0,0,0,53921,0.413,8598,123,2.98,1736.0
71064,36,1974.0,A,monthly,403.0,1044.910669975186,561.4069478908189,483.50372208436727,26.307692307692307,0.0,3.8188585607940446,0.2977667493796526,0.0,0.0,0.21339950372208435,16483.0,1178.0,0.0,15.0,139.0,1014.4863523573201,57,557.5880893300248,456.8982630272953,31397,F,53,53.0,1,0,0,0,85852,0.598,8965,104,7.615,2737.5
74772,36,2077.0,C,after_transaction,389.0,894.3136246786632,489.8020565552699,404.5115681233933,85.59383033419023,0.0,3.8688946015424164,2.3136246786632393,0.0,0.0,0.18251928020565553,8362.0,4162.0,0.0,200.0,211.0,802.5372750642673,41,485.9331619537275,316.60411311053986,33277,M,39,39.0,1,0,0,0,157042,0.33899999999999997,8743,111,2.115,3776.5
52512,12,4376.0,C,monthly,521.0,2085.9635316698655,1082.358925143954,1003.6046065259117,0.0,0.0,5.719769673704414,0.31669865642994244,0.0,0.0,0.16698656429942418,4615.0,0.0,0.0,15.0,171.0,2079.9270633397314,63,1076.6391554702495,1003.2879078694817,41050,M,55,55.0,1,0,0,0,157042,0.33899999999999997,8743,111,2.115,3776.5
185544,36,5154.0,C,monthly,293.0,904.8737201365187,475.80546075085323,429.06825938566556,59.22866894197952,6.877133105802048,3.15358361774744,0.10238907849829351,0.0,0.0,0.11945392491467577,39966.0,17354.0,2015.0,15.0,93.0,835.5119453924915,23,472.6518771331058,362.8600682593857,13694,M,60,60.0,1,0,0,0,124605,0.46,8772,126,4.79,3006.0
23520,12,1960.0,A,monthly,355.0,778.3830985915492,416.0732394366197,362.3098591549296,66.4112676056338,0.0,3.0225352112676056,0.29577464788732394,0.0,0.0,0.17746478873239438,10964.0,3368.0,0.0,15.0,84.0,708.6535211267606,38,413.0507042253521,295.60281690140846,19102,M,58,56.5,2,0,0,0,107911,0.509,8240,99,3.0300000000000002,1876.5
389136,48,8107.0,C,monthly,354.0,3367.8418079096045,1795.1723163841807,1572.6694915254238,0.0,0.0,6.833333333333333,0.2966101694915254,0.0,0.0,0.1751412429378531,68232.0,0.0,0.0,15.0,213.0,3360.7118644067796,44,1788.3389830508474,1572.3728813559321,88470,M,32,32.0,1,0,0,0,107911,0.509,8240,99,3.0300000000000002,1876.5
45336,24,1889.0,A,monthly,489.0,1397.7218813905931,739.5930470347648,658.1288343558282,145.52147239263803,0.0,5.460122699386503,0.3374233128834356,0.0,0.0,0.18404907975460122,20745.0,5930.0,0.0,15.0,197.0,1246.402862985685,52,734.1329243353783,512.2699386503067,40940,M,42,42.0,1,0,0,0,51428,0.527,8402,120,3.54,1049.0
