loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,acc_date,order_amount_min,order_amount_max,order_amount_sum,order_amount_mean,order_amount_count,order_k_symbol__household,order_k_symbol__insurrance,order_k_symbol__leasing,order_k_symbol__loan,trans_date_min,trans_date_max,trans_date_duration,trans_amount_min,trans_amount_max,trans_amount_var,trans_amount_pct_25,trans_amount_pct_50,trans_amount_pct_75,trans_amount_sum,trans_amount_mean,trans_amount_count,trans_balance_min,trans_balance_max,trans_balance_var,trans_balance_pct_25,trans_balance_pct_50,trans_balance_pct_75,trans_balance_sum,trans_balance_mean,trans_balance_count,trans_type_credit,trans_type_withdrawal,trans_operation_collection_from_anotherbank,trans_operation_credit_card_withdrawal,trans_operation_credit_in_cash,trans_operation_remittance_to_anotherbank,trans_operation_withdrawal_in_cash,trans_k_symbol_household,trans_k_symbol_insurrance,trans_k_symbol_interest_credited,trans_k_symbol_loan,trans_k_symbol_old-age_pension,trans_k_symbol_payment_for_statement,trans_k_symbol_sanction_interest_neg_bal,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
5027,276,1998-12-02,160920,36,4470.00,C,38,POPLATEK MESICNE,1997-12-08,4470.5,5212.0,9682.5,4841.25,2,1,0,0,1,1997-12-08,1998-12-31,388 days,15,40234,148953999.07788458,262.0,5212.0,23200.0,725934,11168.215384615385,65,700,74906,276146868.3158654,39700.0,51891.0,66549.0,3269076,50293.47692307692,65,27.0,38.0,13.0,1.0,1.0,9.0,28.0,8.0,0.0,13.0,1.0,0.0,8.0,0.0,M,28,28.0,1,1,0,0,85852,0.598,8965,104,7.615,2737.5
5032,290,1994-11-03,123696,48,2577.00,A,56,POPLATEK MESICNE,1993-12-02,2577.0,3274.0,8504.0,2834.6666666666665,3,1,0,0,1,1993-12-02,1998-12-31,1855 days,15,60000,134414694.58295846,1650.0,3274.0,11400.0,4172379,8497.716904276986,491,300,144053,627575355.3915546,35805.0,48247.0,66838.5,26247227,53456.674134419554,491,160.0,331.0,0.0,0.0,100.0,160.0,171.0,56.0,0.0,60.0,48.0,0.0,55.0,0.0,M,59,59.0,1,0,0,0,124605,0.46,8772,126,4.79,3006.0
5034,303,1998-05-30,112752,36,3132.00,C,71,POPLATEK MESICNE,1996-07-25,3132.0,3803.0,6935.0,3467.5,2,1,0,0,1,1996-07-25,1998-12-31,889 days,15,35360,41817004.923636355,213.75,3800.0,8425.0,976968,5550.954545454545,176,900,72230,140177905.90597397,40542.25,48328.0,56023.5,8398132,47716.65909090909,176,62.0,114.0,0.0,2.0,33.0,32.0,80.0,25.0,0.0,29.0,7.0,0.0,24.0,0.0,F,43,43.0,1,1,0,0,161227,0.697,8678,102,5.735,4787.5
5036,309,1998-11-25,91248,48,1901.00,C,14,POPLATEK MESICNE,1997-04-25,1901.0,1901.0,1901.0,1901.0,1,0,0,0,1,1997-04-25,1998-12-31,615 days,15,28726,82962182.03807543,124.75,2450.0,19112.75,832420,7707.592592592592,108,900,59726,121173276.04595019,22401.25,28270.0,36579.0,3217605,29792.63888888889,108,42.0,66.0,0.0,0.0,22.0,1.0,65.0,0.0,0.0,20.0,1.0,0.0,15.0,0.0,F,26,26.0,1,0,0,0,177686,0.748,10045,135,1.555,6449.5
5039,314,1997-05-03,66840,24,2785.00,C,15,POPLATEK PO OBRATU,1996-01-26,2785.0,13691.0,16476.0,8238.0,2,1,0,0,1,1996-01-26,1998-12-31,1070 days,22,59900,215427098.56962782,169.5,6900.0,18000.0,2804883,12577.95067264574,223,700,109016,320923081.02585524,24914.5,35156.0,53461.5,8756208,39265.5067264574,223,74.0,149.0,35.0,0.0,4.0,51.0,98.0,31.0,0.0,35.0,20.0,0.0,30.0,0.0,F,60,62.0,2,0,0,0,58796,0.519,9045,124,3.35,1862.0
5041,319,1997-07-11,369000,60,6150.00,C,47,POPLATEK TYDNE,1995-10-17,416.0,6149.5,9818.5,2454.625,4,1,1,0,1,1995-10-17,1998-12-31,1171 days,30,63700,169810977.7876596,416.0,2196.0,11343.5,3366562,8953.622340425532,376,700,176869,709507412.1243693,44648.0,60818.0,80718.75,23939620,63669.20212765958,376,112.0,264.0,0.0,0.0,74.0,126.0,138.0,36.0,36.0,38.0,18.0,0.0,36.0,0.0,F,25,25.0,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
5042,330,1998-07-12,331584,48,6908.00,C,42,POPLATEK MESICNE,1996-11-24,6908.0,6908.0,6908.0,6908.0,1,0,0,0,1,1996-11-24,1998-12-31,767 days,15,33590,98752200.29481211,173.25,6610.0,18000.0,1213696,9336.123076923077,130,400,73943,165797544.68223014,35416.5,39368.5,52247.25,5462657,42020.43846153846,130,51.0,79.0,0.0,0.0,26.0,6.0,73.0,0.0,0.0,25.0,6.0,0.0,20.0,0.0,F,26,29.0,2,0,0,0,95907,0.591,8388,87,2.67,1663.0
5043,339,1997-12-25,468060,60,7801.00,C,46,POPLATEK TYDNE,1996-09-11,48.0,7801.2,11936.2,3978.7333333333336,3,1,0,0,1,1996-09-11,1998-12-31,841 days,30,70210,310251288.6463178,288.5,4087.0,16419.0,2782005,12879.652777777777,216,400,141114,574894413.5777557,49536.0,68219.0,81991.75,14232199,65889.81018518518,216,58.0,158.0,28.0,2.0,2.0,58.0,98.0,23.0,0.0,28.0,12.0,0.0,23.0,0.0,F,52,53.0,2,1,0,0,112709,0.735,8369,117,2.005,2736.0
5044,344,1994-12-21,100980,60,1683.00,C,54,POPLATEK MESICNE,1993-12-01,1683.0,4739.0,6422.0,3211.0,2,1,0,0,1,1993-12-01,1998-12-31,1856 days,15,23100,30646273.186886832,177.0,2000.0,5450.0,1841480,4615.238095238095,399,600,64600,79330914.43299218,34812.5,41106.0,46208.5,16393581,41086.66917293233,399,128.0,271.0,0.0,0.0,67.0,105.0,166.0,57.0,0.0,61.0,48.0,0.0,56.0,0.0,M,34,34.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
5045,347,1995-05-01,187224,24,7801.00,B,65,POPLATEK MESICNE,1993-12-13,7801.2,7801.2,7801.2,7801.2,1,0,0,0,1,1993-12-13,1998-12-31,1844 days,0,51900,144006871.31126174,181.0,7800.0,15233.5,3945724,10410.881266490765,379,-2763,142312,743665381.219319,24755.0,44121.0,62092.0,16668687,43980.704485488124,379,150.0,229.0,0.0,0.0,89.0,22.0,207.0,0.0,0.0,61.0,22.0,0.0,55.0,8.0,M,52,52.0,1,0,0,0,114200,0.437,8403,105,5.71,2437.5
5046,349,1998-09-09,42816,12,3568.00,C,72,POPLATEK MESICNE,1997-06-08,3568.0,4660.0,8228.0,4114.0,2,1,0,0,1,1997-06-08,1998-12-31,571 days,15,10486,8770626.532710277,77.5,2700.0,4660.0,341603,3192.551401869159,107,1100,31617,23950543.726150595,13810.0,16901.0,19529.0,1824903,17055.168224299065,107,51.0,56.0,0.0,0.0,32.0,18.0,38.0,14.0,0.0,19.0,4.0,0.0,14.0,0.0,M,62,60.0,2,0,0,0,226122,0.626,8994,110,4.295,9440.0
5051,378,1997-10-11,230400,60,3840.00,C,68,POPLATEK MESICNE,1996-07-22,2.0,8537.0,13567.2,2713.44,5,1,1,0,1,1996-07-22,1998-12-31,892 days,2,63900,231926877.09132835,149.25,3840.0,17850.0,3926908,11415.43023255814,344,15100,145352,682463785.4455218,47776.5,65942.0,88163.0,23457524,68190.47674418605,344,103.0,241.0,0.0,0.0,73.0,127.0,114.0,28.0,28.0,30.0,15.0,0.0,28.0,0.0,M,38,38.0,1,0,0,0,228848,0.572,9893,96,4.36,5755.0
5060,426,1994-07-19,252060,60,4201.00,D,1,POPLATEK MESICNE,1993-11-29,886.0,7497.0,12584.2,4194.733333333334,3,1,0,0,1,1993-11-29,1998-12-31,1858 days,4,49937,93075614.06777601,196.5,4201.0,7497.0,3107455,6998.772522522522,444,-821,110028,449550548.45066816,17985.5,29475.0,46432.25,15096959,34002.15990990991,444,150.0,294.0,0.0,0.0,89.0,165.0,129.0,56.0,0.0,61.0,51.0,0.0,58.0,2.0,F,34,34.0,1,0,0,0,1204953,1.0,12541,167,0.315,92392.0
5061,440,1998-03-13,84288,48,1756.00,C,29,POPLATEK MESICNE,1996-12-22,1756.0,5825.0,7581.0,3790.5,2,1,0,0,1,1996-12-22,1998-12-31,739 days,15,24695,43652797.231851675,181.5,2100.0,7150.0,817699,5562.578231292517,147,500,73640,191485142.57124215,23416.0,32042.0,45516.0,5096810,34672.1768707483,147,52.0,95.0,0.0,0.0,28.0,28.0,67.0,19.0,0.0,24.0,9.0,0.0,19.0,0.0,F,42,42.0,1,0,0,0,45714,0.556,8843,113,3.2,853.0
5063,442,1997-07-10,357840,48,7455.00,D,54,POPLATEK MESICNE,1997-03-30,2068.0,7455.0,15129.0,5043.0,3,1,0,0,1,1997-03-30,1998-12-31,641 days,1,48885,173470019.7620254,142.0,5606.0,13450.0,804592,10057.4,80,-543,94705,351253814.27832264,16808.0,25684.5,47376.0,2499319,31241.4875,80,35.0,45.0,0.0,0.0,18.0,21.0,24.0,7.0,0.0,17.0,7.0,0.0,7.0,1.0,F,58,58.0,1,0,0,0,387570,1.0,9897,140,1.78,18708.5
5072,472,1997-04-28,196800,24,8200.00,D,8,POPLATEK MESICNE,1996-10-11,8200.2,8200.2,8200.2,8200.2,1,0,0,0,1,1996-10-11,1998-12-31,811 days,5,78300,431105064.1755431,290.0,8200.0,29400.0,2791008,17553.509433962263,159,-2756,130885,812436296.8631477,38311.5,58031.0,79124.0,9313290,58574.15094339623,159,54.0,105.0,26.0,0.0,2.0,19.0,86.0,0.0,0.0,26.0,19.0,0.0,21.0,2.0,F,39,39.0,1,0,0,0,112065,0.694,11277,127,1.32,5083.0
5082,501,1996-10-24,262980,60,4383.00,C,13,POPLATEK MESICNE,1995-10-21,4382.7,4382.7,4382.7,4382.7,1,0,0,0,1,1995-10-21,1998-12-31,1167 days,15,57800,197549863.8429777,226.0,4383.0,17200.0,2600969,11162.957081545064,233,900,151036,784971744.118877,40782.0,61735.0,80724.0,14754854,63325.55364806867,233,95.0,138.0,0.0,0.0,57.0,26.0,112.0,0.0,0.0,38.0,26.0,0.0,36.0,0.0,F,33,33.0,1,0,0,0,53921,0.413,8598,123,2.98,1736.0
5086,525,1997-07-16,210384,48,4383.00,C,70,POPLATEK MESICNE,1996-03-20,4382.7,6454.0,10836.7,5418.35,2,1,0,0,1,1996-03-20,1998-12-31,1016 days,15,49522,162578188.143361,226.25,4982.5,10791.75,1810540,9630.531914893618,188,300,158444,679633548.0490103,29934.0,41079.5,60535.75,8994911,47845.27127659575,188,77.0,111.0,0.0,0.0,45.0,40.0,71.0,23.0,0.0,32.0,17.0,0.0,23.0,0.0,F,43,43.0,1,0,0,0,285387,0.899,10177,81,7.175,9993.0
5088,544,1996-08-22,91152,24,3798.00,A,32,POPLATEK MESICNE,1995-05-15,3798.2,3798.2,3798.2,3798.2,1,0,0,0,1,1995-05-15,1998-12-31,1326 days,15,47400,96217705.97796525,223.25,3799.0,14767.5,2191786,8629.07874015748,254,400,111236,243042474.51067504,42701.75,49663.5,64385.0,13573339,53438.34251968504,254,99.0,155.0,43.0,4.0,13.0,24.0,127.0,0.0,0.0,43.0,24.0,0.0,38.0,0.0,M,57,57.0,1,1,0,0,105058,0.81,9272,118,3.01,4422.5
5103,666,1997-11-28,12540,12,1045.00,A,27,POPLATEK MESICNE,1996-03-15,955.0,3936.0,8218.0,2054.5,4,1,1,0,1,1996-03-15,1998-12-31,1021 days,15,21987,28025572.232990768,700.0,1860.0,3936.0,1072934,3887.442028985507,276,200,85808,149827937.93026352,39358.5,45904.5,55151.0,13147253,47634.97463768116,276,78.0,198.0,0.0,19.0,45.0,96.0,83.0,28.0,28.0,33.0,12.0,0.0,28.0,0.0,F,59,61.0,2,1,0,0,67298,0.438,8561,110,0.945,1078.0
5110,675,1997-04-01,102240,60,1704.00,C,58,POPLATEK MESICNE,1995-08-03,1704.0,6358.0,8062.0,4031.0,2,1,0,0,1,1995-08-03,1998-12-31,1246 days,15,14560,15347679.127507035,182.5,1900.0,6358.0,987969,3756.536121673004,263,900,69589,156642014.4466664,30178.0,36342.0,46516.5,10061870,38258.0608365019,263,106.0,157.0,0.0,4.0,65.0,57.0,96.0,36.0,0.0,41.0,21.0,0.0,36.0,0.0,F,54,56.5,2,1,0,0,109164,0.636,8757,96,3.625,2341.5
5117,718,1997-08-20,76944,12,6412.00,A,1,POPLATEK MESICNE,1996-03-03,726.0,7122.0,20301.0,5075.25,4,1,1,0,1,1996-03-03,1998-12-31,1033 days,15,62400,161254602.80183023,726.0,6041.0,11282.0,2782388,9901.73665480427,281,500,134873,693330474.6892223,29072.0,42995.0,66818.0,13691088,48722.73309608541,281,90.0,191.0,0.0,3.0,59.0,92.0,96.0,27.0,27.0,31.0,12.0,0.0,26.0,0.0,F,43,43.0,1,1,0,0,1204953,1.0,12541,167,0.315,92392.0
5124,785,1998-02-12,156096,36,4336.00,C,21,POPLATEK TYDNE,1997-08-09,4335.8,7395.0,11730.8,5865.4,2,1,0,0,1,1997-08-09,1998-12-31,509 days,30,40200,109063231.03426796,257.0,4618.0,11153.5,944040,8741.111111111111,108,700,93801,242269761.8193144,33131.25,43838.5,52976.75,4738020,43870.555555555555,108,40.0,68.0,17.0,0.0,6.0,23.0,45.0,12.0,0.0,17.0,11.0,0.0,12.0,0.0,M,47,47.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
5125,789,1995-11-23,73056,48,1522.00,C,39,POPLATEK MESICNE,1995-02-06,1522.0,2153.0,5316.0,1772.0,3,1,0,0,1,1995-02-06,1998-12-31,1424 days,15,8538,4606660.986789255,85.25,1641.0,2153.0,594484,2022.0544217687075,294,500,33555,22988868.04440344,14847.75,17055.5,20867.75,5266581,17913.54081632653,294,100.0,194.0,0.0,0.0,53.0,121.0,73.0,42.0,0.0,47.0,37.0,0.0,42.0,0.0,M,29,25.5,2,0,0,0,119895,0.899,10446,90,8.35,4845.0
5126,790,1994-07-24,208128,48,4336.00,B,54,POPLATEK MESICNE,1993-05-11,4335.8,4335.8,4335.8,4335.8,1,0,0,0,1,1993-05-11,1998-12-31,2060 days,15,58100,143623808.59903902,182.25,4336.0,13450.0,3769526,9284.546798029556,406,-1070,147308,791800419.6394818,25516.75,39464.5,59674.25,18477580,45511.28078817734,406,158.0,248.0,0.0,16.0,91.0,41.0,191.0,0.0,0.0,67.0,41.0,0.0,61.0,0.0,M,48,48.0,1,1,0,0,387570,1.0,9897,140,1.78,18708.5
5128,808,1996-04-11,215616,48,4492.00,D,69,POPLATEK MESICNE,1995-06-13,4492.0,4492.0,4492.0,4492.0,1,0,0,0,1,1995-06-13,1998-12-31,1297 days,6,23130,37707032.36682615,52.5,1560.0,8500.0,1387906,4852.818181818182,286,-4385,50125,105850754.79701878,12242.25,17562.0,24160.0,5162849,18051.91958041958,286,128.0,158.0,0.0,0.0,44.0,31.0,127.0,37.0,0.0,84.0,31.0,0.0,37.0,10.0,M,42,42.0,1,0,0,0,42821,0.484,8173,124,7.01,1358.0
5130,813,1994-05-11,24312,12,2026.00,A,16,POPLATEK MESICNE,1993-02-10,2025.7,2025.7,2025.7,2025.7,1,0,0,0,1,1993-02-10,1998-12-31,2150 days,15,24322,32040767.46675188,148.0,2100.0,10050.0,1922382,4904.035714285715,392,1100,61338,69389428.28328733,30930.25,35736.0,41583.25,14174110,36158.44387755102,392,155.0,237.0,71.0,0.0,13.0,12.0,225.0,0.0,0.0,71.0,12.0,0.0,66.0,0.0,F,44,44.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
5131,816,1995-01-08,48624,24,2026.00,A,52,POPLATEK MESICNE,1993-08-05,2025.7,4514.0,6539.7,3269.85,2,1,0,0,1,1993-08-05,1998-12-31,1974 days,15,60200,187668651.92059577,404.0,4514.0,20100.0,5550776,11259.180527383367,493,200,153641,754885390.528306,50084.0,67833.0,89560.0,34729901,70446.04665314402,493,183.0,310.0,0.0,0.0,118.0,83.0,227.0,59.0,0.0,65.0,24.0,0.0,59.0,0.0,M,38,38.0,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
5132,817,1995-02-17,538500,60,8975.00,C,5,POPLATEK MESICNE,1994-03-18,4605.0,8975.0,13580.0,6790.0,2,1,0,0,1,1994-03-18,1998-12-31,1749 days,15,32082,65783926.201815926,132.0,4605.0,8975.0,2622729,7265.177285318559,361,200,69776,133206572.05901805,22937.0,30183.0,39156.0,11313878,31340.382271468145,361,115.0,246.0,0.0,0.0,58.0,99.0,147.0,53.0,0.0,57.0,46.0,0.0,52.0,0.0,M,39,39.0,1,0,0,0,95616,0.514,9307,118,4.115,2828.0
5134,825,1997-02-02,53076,12,4423.00,A,19,POPLATEK MESICNE,1996-03-06,4423.0,9235.0,13658.0,6829.0,2,1,0,0,1,1996-03-06,1998-12-31,1030 days,15,23817,38082939.93516676,174.0,3750.0,9235.0,1206351,5533.720183486239,218,500,65122,113211740.14562637,26972.0,33382.0,41073.0,7384219,33872.564220183485,218,82.0,136.0,0.0,2.0,48.0,41.0,93.0,29.0,0.0,34.0,12.0,0.0,29.0,0.0,M,51,51.0,1,1,0,0,51428,0.527,8402,120,3.54,1049.0
5136,846,1996-07-28,187104,24,7796.00,A,72,POPLATEK MESICNE,1996-03-09,7795.5,7795.5,7795.5,7795.5,1,0,0,0,1,1996-03-09,1998-12-31,1027 days,3,58600,202339112.49364138,332.0,7796.0,18017.0,2848825,12440.283842794759,229,300,148870,844996722.0090398,44205.0,66831.0,86363.0,15154206,66175.57205240175,229,98.0,131.0,0.0,1.0,64.0,24.0,106.0,0.0,0.0,34.0,24.0,0.0,31.0,0.0,F,22,22.0,1,1,0,0,226122,0.626,8994,110,4.295,9440.0
5138,854,1995-05-30,87216,48,1817.00,C,62,POPLATEK MESICNE,1993-09-21,382.0,2843.0,6147.0,1536.75,4,1,1,0,1,1993-09-21,1998-12-31,1927 days,15,15608,13629231.698630117,382.0,1300.0,2843.0,1414497,2768.095890410959,511,700,52046,56543053.26256852,20491.0,25759.0,30684.5,13486772,26392.900195694718,511,129.0,382.0,0.0,0.0,66.0,219.0,163.0,59.0,59.0,63.0,43.0,0.0,58.0,0.0,F,45,45.0,1,0,0,0,145688,0.407,8544,109,1.53,2812.5
5140,873,1998-02-24,178500,60,2975.00,C,73,POPLATEK MESICNE,1997-04-26,878.0,2975.0,7604.0,1901.0,4,1,1,0,1,1997-04-26,1998-12-31,614 days,12,10416,6507269.411230425,525.0,1540.0,2975.0,355603,2370.6866666666665,150,1000,39316,50416024.48787471,12979.25,15068.0,18281.0,2534336,16895.573333333334,150,53.0,97.0,0.0,0.0,33.0,56.0,41.0,16.0,15.0,20.0,10.0,0.0,15.0,0.0,F,28,28.0,1,0,0,0,182027,0.564,8746,90,3.52,4394.0
