account_id,loan_amount,loan_duration,loan_payments,loan_status,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,sum_other_amount_in,sum_other_amount_out,count_other_trans,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes,balance_mean,balance_min,balance_max,balance_min_last_month,balance_max_last_month,balance_mean_last_month,balance_min_last_3months,balance_max_last_3months,balance_mean_last_3months,balance_mean_per_loan_payment,balance_mean_last_month_per_loan_payment,balance_mean_per_loan_amount,balance_mean_last_month_per_loan_amount,growth_balance,amount_last_month,amount_last_month_in,amount_last_month_out,amount_last_month_per_loan_payments,amount_last_mount_in_per_loan_payments,amount_last_mount_out_per_loan_payments,amount_last_month_per_loan_amount,amount_last_mount_in_per_loan_amount,amount_last_mount_out_per_loan_amount,amount_last_3months_avg,amount_last_3months_in_avg,amount_last_3months_out_avg,amount_last_3months_per_loan_payments,amount_last_3months_in_per_loan_payments,amount_last_3months_out_per_loan_payments,amount_last_3months_per_loan_amount,amount_last_3months_in_per_loan_amount,amount_last_3months_out_per_loan_amount
132,88440,12,7370,A,after_transaction,179,2571.927374,1506.379888,1065.547486,0,0,8.474860335,2.234636872,0,0,0.173184358,16600,0,0,100,283,2561.217877,1497.905028,1063.312849,21,79008,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5,62778.09677,200,103239,41146,85225,72256.33333,35901,85225,58414.55556,8.518059264,9.804115785,0.709838272,0.817009649,361.9525926,60962,44362,16600,8.271641791,6.0192673,2.252374491,0.689303483,0.501605608,0.187697874,67124.66667,35313.66667,31811,9.107824514,4.791542289,4.316282225,0.758985376,0.399295191,0.359690185
173,104808,12,8734,A,monthly,186,1071.387097,611.0053763,460.3817204,67.2688172,7.903225806,3.290322581,0.080645161,0,0,0.161290323,23723,6256,735,15,168,992.844086,607.7150538,385.1290323,20,28015,M,60,57,2,0,0,0,125832,0.483,8512,102,3.81,2175,38709.7,500,57865,28015,49323,37835.5,28015,57865,42056.66667,4.432070071,4.331978475,0.369339173,0.360998206,-85.72037037,41204,17481,23723,4.717655141,2.001488436,2.716166705,0.393137928,0.166790703,0.226347225,38717,17473.33333,21243.66667,4.432905885,2.00061064,2.432295245,0.369408824,0.166717553,0.20269127
176,27456,12,2288,A,weekly,241,3672.298755,1911.423237,1760.875519,94.68879668,2.012448133,6.410788382,0.746887967,0,0,0.31120332,189927,4564,97,30,319,3568.439834,1905.012448,1663.427386,51,36281,M,32,32,1,0,0,0,161227,0.697,8678,102,5.735,4787.5,48780.09333,800,111282,36281,111282,63965.35714,21468,111282,53797.39024,21.31997086,27.95688686,1.776664239,2.329740572,251.0560516,316684,126757,189927,138.4108392,55.40078671,83.01005245,11.5342366,4.616732226,6.917504371,186566.3333,89506,97060.33333,81.5412296,39.11975524,42.42147436,6.795102467,3.259979604,3.535122863
226,109344,12,9112,C,monthly,504,1384.251984,758.2519841,626,230.2857143,0,5.692460317,0.357142857,0,0,0.18452381,33071,17856,0,15,236,1147.916667,752.5595238,395.3571429,52,66657,F,55,55,1,1,0,0,285387,0.899,10177,81,7.175,9993,48376.22581,1000,80433,56305,75585,63946.28571,40114,80433,57661.38889,5.309067801,7.017810109,0.442422317,0.584817509,147.8190476,52366,19295,33071,5.746927129,2.117537313,3.629389816,0.478910594,0.176461443,0.302449151,43943.33333,23157.66667,20785.66667,4.822578285,2.541447176,2.281131109,0.401881524,0.211787265,0.190094259
276,160920,36,4470,C,monthly,359,1827.623955,981.1142061,846.5097493,101.6267409,0,7.860724234,0.334261838,0,0,0.164345404,32527,5212,0,15,189,1717.802228,973.2534819,744.5487465,32,48340,M,28,28,1,1,0,0,85852,0.598,8965,104,7.615,2737.5,51649.44068,700,74906,25428,52251,42189.16667,25428,61542,45032.05,11.55468472,9.438292319,0.320963464,0.262174787,-30.85,59539,27012,32527,13.3196868,6.04295302,7.276733781,0.3699913,0.167859806,0.202131494,58535,27103,31432,13.0950783,6.063310962,7.031767338,0.363752175,0.168425304,0.19532687
290,123696,48,2577,A,monthly,336,1625.449405,850.2053571,775.2440476,47.375,0,6.455357143,0.267857143,0,0,0.181547619,5942,2653,0,15,114,1571.35119,843.75,727.6011905,39,25202,M,59,59,1,0,0,0,124605,0.46,8772,126,4.79,3006,49084.5082,300,89822,22488,25762,24745.4,22488,78732,38545.75,19.04715103,9.602405898,0.396815646,0.200050123,-318.8892063,8656,2714,5942,3.358944509,1.053162592,2.305781917,0.069978011,0.021940887,0.048037123,38064,17199.33333,20864.66667,14.77066356,6.67416893,8.096494632,0.307722158,0.139045186,0.168676972
303,112752,36,3132,C,monthly,674,1069.034125,570.8011869,498.2329377,101.5637982,0,5.34272997,0.378338279,0,0,0.191394659,16278,3803,0,15,213,961.7492582,565.458457,396.2908012,73,48917,F,43,43,1,1,0,0,161227,0.697,8678,102,5.735,4787.5,44659.68992,900,68402,46415,61820,52335.71429,42774,61820,51195.8,14.25916026,16.70999818,0.396087785,0.464166616,11.51111111,31896,15618,16278,10.18390805,4.986590038,5.197318008,0.282886335,0.13851639,0.144369945,29890,15605.33333,14284.66667,9.543422733,4.982545764,4.560876969,0.265095076,0.138404049,0.126691027
309,91248,48,1901,C,monthly,579,1353.993092,689.8307427,664.1623489,0,0,3.658031088,0.362694301,0,0,0.170984456,24635,0,0,15,104,1349.972366,686.1727116,663.7996546,67,14867,F,26,26,1,0,0,0,177686,0.748,10045,135,1.555,6449.5,30173.13131,900,59726,14816,33967,20867.2,14816,43096,25381.66667,15.87224162,10.9769595,0.3306717,0.228686656,-110.7933333,43890,19255,24635,23.0878485,10.12887954,12.95896896,0.480996844,0.211018324,0.26997852,41517.66667,19262.66667,22255,21.83990882,10.1329125,11.70699632,0.4549981,0.211102344,0.243895757
314,66840,24,2785,C,after_transaction,463,2546.457883,1297.714903,1248.742981,325.2721382,0,4.727861771,2.375809935,0,0,0.203023758,50091,13691,0,100,176,2214.082073,1292.987041,921.0950324,57,22774,F,60,62,2,0,0,0,58796,0.519,9045,124,3.35,1862,38819.24468,700,109016,22598,72589,39389.85714,18774,72589,39998.65,13.9386875,14.14357528,0.580778646,0.589315636,63.6952381,87164,37073,50091,31.29766607,13.31166966,17.98599641,1.30406942,0.554652902,0.749416517,72888,37097,35791,26.17163375,13.32028725,12.8513465,1.09048474,0.555011969,0.535472771
319,369000,60,6150,C,weekly,633,1635.718799,864.892575,770.8262243,30.05687204,12.48657188,5.781990521,0.900473934,0,0,0.27014218,13115,1057,832,30,190,1586.492891,859.1105845,727.3823065,95,59545,F,25,25,1,0,0,0,162580,0.728,9538,111,1.655,5744.5,48648.35673,700,110827,40907,68991,56803.5,40907,110827,64666.10714,7.910301907,9.236341463,0.131838365,0.153939024,-220.6380342,41198,28083,13115,6.698861789,4.566341463,2.132520325,0.111647696,0.076105691,0.035542005,60152.33333,26252.33333,33900,9.780867209,4.268672087,5.512195122,0.163014453,0.071144535,0.091869919
330,331584,48,6908,C,monthly,595,1574.420168,833.8403361,740.5798319,0,0,5.188235294,0.378151261,0,0,0.169747899,24115,0,0,15,182,1568.853782,828.6521008,740.2016807,67,55495,F,26,29,2,0,0,0,95907,0.591,8388,87,2.67,1663,42007.43564,400,73943,35215,57775,43333,35215,73515,46859,6.080983735,6.272872032,0.126687161,0.130684834,-13.83518519,46690,22575,24115,6.758830342,3.267950203,3.490880139,0.140808965,0.068082296,0.07272667,52888,26313,26575,7.656050955,3.809061957,3.846988998,0.159501062,0.079355457,0.080145604
339,468060,60,7801,C,weekly,470,3302.242553,1752.43617,1549.806383,95.65319149,0,8.774468085,0.70212766,0,0,0.238297872,38265,4087,0,30,287,3197.112766,1743.661702,1453.451064,75,102735,F,52,53,2,1,0,0,112709,0.735,8369,117,2.005,2736,59623.33036,400,127425,39125,109335,67741.44444,39125,109335,67141.16,7.643036836,8.683687277,0.127383947,0.144728121,17.7132716,108762,70497,38265,13.94205871,9.036918344,4.905140367,0.232367645,0.150615306,0.081752339,100884.3333,54881,46003.33333,12.93223091,7.035123702,5.897107208,0.215537182,0.117252062,0.09828512
344,100980,60,1683,C,monthly,385,956.5688312,539.5012987,417.0675325,110.7818182,0,4.316883117,0.311688312,0,0,0.181818182,15754,4739,0,15,162,841.1584416,535.1844156,305.974026,41,47138,M,34,34,1,0,0,0,387570,1,9897,140,1.78,18708.5,35614.81429,600,53377,32308,53377,40584.71429,30922,53377,38015.21053,21.16150581,24.11450641,0.352691764,0.40190844,54.70571429,36838,21084,15754,21.88829471,12.52762923,9.360665478,0.364804912,0.208793821,0.156011091,29646.66667,16426,13220.66667,17.61536938,9.759952466,7.855416914,0.29358949,0.162665874,0.130923615
347,187224,24,7801,B,monthly,504,1891.785714,996.3174603,895.468254,0,0,5.283730159,0.357142857,0,0.001984127,0.174603175,8230,0,0,30,165,1886.144841,991.0337302,895.1111111,58,50847,M,52,52,1,0,0,0,114200,0.437,8403,105,5.71,2437.5,42084.38636,-243,92571,5208,50847,26528,5134,67470,33400.33333,5.394742516,3.400589668,0.224780938,0.141691236,-202.9805556,62158,53928,8230,7.967952827,6.912959877,1.05499295,0.331998034,0.288039995,0.04395804,48624.66667,21563.33333,27061.33333,6.233132504,2.764175533,3.468956971,0.259713854,0.115173981,0.144539874
349,42816,12,3568,C,monthly,458,594.9868996,317.9017467,277.0851528,101.7467249,0,2.508733624,0.360262009,0,0,0.18558952,7075,4660,0,15,69,490.371179,315.3930131,174.9781659,49,18697,M,62,60,2,0,0,0,226122,0.626,8994,110,4.295,9440,17076.85882,1100,31617,11352,18697,16057.16667,10455,22054,16610.9,4.786115141,4.500326981,0.398842928,0.375027248,10.35046296,16835,9760,7075,4.718329596,2.735426009,1.982903587,0.393194133,0.227952167,0.165241966,22716.66667,11955,10761.66667,6.366778774,3.350616592,3.016162182,0.530564898,0.279218049,0.251346849
378,230400,60,3840,C,monthly,446,4743.008969,2426.742152,2316.266816,248.8363229,0.058295964,10.15246637,0.470852018,0,0,0.376681614,46296,8537,2,15,259,4483.491031,2416.589686,2066.901345,113,49277,M,38,38,1,0,0,0,228848,0.572,9893,96,4.36,5755,79500.52976,20574,145352,49277,86777,65263.11111,45913,95314,61834.24138,20.70326296,16.99560185,0.345054383,0.283260031,56.99901235,46555,259,46296,12.12369792,0.067447917,12.05625,0.202061632,0.001124132,0.2009375,60966.66667,26806.66667,34160,15.87673611,6.980902778,8.895833333,0.264612269,0.11634838,0.148263889
426,252060,60,4201,D,monthly,232,3056.616379,1679.375,1377.241379,161.5732759,0,5.504310345,0.323275862,0,0,0.262931034,43188,7497,0,15,202,2889.215517,1673.87069,1215.344828,44,70097,F,34,34,1,0,0,0,1204953,1,12541,167,0.315,92392,57340.68852,900,106260,38545,96184,65952.81818,28524,96184,59115.6875,13.64929505,15.69931402,0.227488251,0.261655234,100.3979798,127949,84761,43188,30.456796,20.17638657,10.28040943,0.507613267,0.33627311,0.171340157,121631,62603.33333,59027.66667,28.95286836,14.90200746,14.05086091,0.482547806,0.248366791,0.234181015
440,84288,48,1756,C,monthly,446,1132.560538,610.5874439,521.9730942,130.6053812,0,3.392376682,0.33632287,0,0,0.19058296,7440,5825,0,15,112,998.2264574,607.1950673,391.0313901,51,39526,F,42,42,1,0,0,0,45714,0.556,8843,113,3.2,853,25727.45882,500,50218,24663,41126,32398.28571,9312,44324,26101.48148,14.65117245,18.45004881,0.305232759,0.384376017,83.80687831,40778,33338,7440,23.22209567,18.98519362,4.23690205,0.48379366,0.395524867,0.088268793,44778.66667,25705.33333,19073.33333,25.50037965,14.63857251,10.86180714,0.531257909,0.304970261,0.226287649
442,357840,48,7455,D,monthly,102,99.01960784,99.01960784,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,99.01960784,99.01960784,0,2,10100,F,58,58,1,0,0,0,387570,1,9897,140,1.78,18708.5,5350,600,10100,10100,10100,10100,10100,10100,10100,0.717639168,1.354795439,0.014950816,0.028224905,-747.3,9500,9500,0,1.274312542,1.274312542,0,0.026548178,0.026548178,0,3166.666667,3166.666667,0,0.424770847,0.424770847,0,0.008849393,0.008849393,0
472,196800,24,8200,D,monthly,199,3035.160804,1613.477387,1421.683417,0,0,4.899497487,0.075376884,0,0,0.115577889,48215,0,0,15,192,3030.18593,1608.577889,1421.60804,17,38166,F,39,39,1,0,0,0,112065,0.694,11277,127,1.32,5083,58669.56522,300,113888,37165,86366,49408.6,36988,113888,62611.76923,7.154825027,6.025439024,0.298117709,0.251059959,42.05666667,97608,49393,48215,11.90341463,6.023536585,5.879878049,0.49597561,0.250980691,0.244994919,105800.3333,49428.66667,56371.66667,12.90247967,6.027886179,6.874593496,0.53760332,0.251161924,0.286441396
501,262980,60,4383,C,monthly,369,1109.422764,657.796748,451.6260163,0,0,5.06504065,0.406504065,0,0,0.151761518,8615,0,0,15,138,1103.95122,652.7317073,451.2195122,35,76081,F,33,33,1,0,0,0,53921,0.413,8598,123,2.98,1736,41729.64286,900,78574,25837,76081,38696.83333,24214,76081,38590.6,9.520794629,8.8288463,0.15867991,0.147147438,-582.1256614,62897,54282,8615,14.35021675,12.38466804,1.965548711,0.239170279,0.206411134,0.032759145,31439.33333,20291,11148.33333,7.173016959,4.629477527,2.543539433,0.119550283,0.077157959,0.042392324
525,210384,48,4383,C,monthly,483,955.9089027,526.0662526,429.8426501,80.17391304,0,5.380952381,0.186335404,0,0,0.122153209,28369,6454,0,15,201,870.1677019,520.6853002,349.4824017,33,46478,F,43,43,1,0,0,0,285387,0.899,10177,81,7.175,9993,45912.32203,300,121135,31140,60547,50808.71429,26248,121135,64530.35,10.47509058,11.5922232,0.218231054,0.24150465,-0.168253968,57776,29407,28369,13.18183892,6.709331508,6.472507415,0.274621644,0.13977774,0.134843904,77114.33333,42245.33333,34869,17.59396152,9.638451593,7.955509925,0.366540865,0.200801075,0.16573979
544,91152,24,3798,A,monthly,465,1565.339785,825.0107527,740.3290323,0,0,5.397849462,0.322580645,0,0,0.165591398,40615,0,0,15,228,1559.619355,819.6129032,740.0064516,53,39379,M,57,57,1,1,0,0,105058,0.81,9272,118,3.01,4422.5,44829.5974,400,72328,31190,57204,47373.75,31190,65919,49917.19048,11.80347483,12.47334123,0.491811451,0.519722551,-0.765740741,63632,23017,40615,16.7540811,6.060294892,10.6937862,0.698086712,0.252512287,0.445574425,59978.66667,26815.66667,33163,15.79217132,7.060470423,8.731700895,0.658007138,0.294186268,0.363820871
666,12540,12,1045,A,monthly,623,1025.486356,556.529695,468.9566613,94.76725522,22.99357945,5.410914928,0.361155698,0,0,0.243980738,13688,3936,955,15,213,901.953451,551.1187801,350.8346709,88,54562,F,59,61,2,1,0,0,67298,0.438,8561,110,0.945,1078,41922.125,200,57779,39904,54562,47996.44444,37841,54562,47087.28,40.11686603,45.92961191,3.343072169,3.827467659,198.8391975,28559,14871,13688,27.3291866,14.23062201,13.09856459,2.277432217,1.185885167,1.091547049,29661.33333,14873.33333,14788,28.38405104,14.23285486,14.15119617,2.365337586,1.186071239,1.179266348
675,102240,60,1704,C,monthly,607,777.6326194,417.4514003,360.1812191,157.1169687,0,4.161449753,0.39538715,0,0,0.207578254,12673,6358,0,15,150,615.9588138,413.2899506,202.6688633,75,34783,F,54,56.5,2,1,0,0,109164,0.636,8757,96,3.625,2341.5,29947.10317,900,43627,30296,39834,34611.85714,20183,39834,31331.78571,17.57459106,20.31212274,0.292909851,0.338535379,88.04285714,23461,10788,12673,13.76819249,6.330985915,7.437206573,0.229469875,0.105516432,0.123953443,29345.33333,14387.33333,14958,17.22143975,8.443270736,8.778169014,0.287023996,0.140721179,0.146302817
718,76944,12,6412,A,monthly,535,1711.233645,910.9943925,800.2392523,14.9271028,124.2074766,3.86728972,0.280373832,0,0,0.205607477,64929,726,6041,15,241,1567.951402,907.1271028,660.8242991,64,59256,F,43,43,1,1,0,0,1204953,1,12541,167,0.315,92392,40141.86364,500,105970,59256,105970,80080.81818,10444,105970,55634.65517,6.260427891,12.48921057,0.521702324,1.040767548,60.24242424,140660,75731,64929,21.93699314,11.81082346,10.12616968,1.828082761,0.984235288,0.843847473,96607.66667,55572.33333,41035.33333,15.06669786,8.666926596,6.399771262,1.255558155,0.722243883,0.533314272
785,156096,36,4336,C,weekly,187,1681.481283,916.8716578,764.6096257,79.09090909,0,7.262032086,0.320855615,0,0,0.176470588,34525,7395,0,30,222,1594.807487,909.6096257,685.197861,23,28472,M,47,47,1,0,0,0,103347,0.67,9104,123,1.785,2326.5,51641.72727,700,93801,28472,62775,45625.3,28472,93801,55943.3913,11.90999245,10.52244004,0.330833124,0.292290001,246.5130556,60762,26237,34525,14.01337638,6.050968635,7.962407749,0.389260455,0.168082462,0.221177993,68058.33333,30631,37427.33333,15.69611009,7.064345018,8.631765068,0.436003058,0.196231806,0.239771252
789,73056,48,1522,C,monthly,290,430.0517241,252.1724138,177.8793103,37.12068966,0,2.979310345,0.25862069,0,0,0.175862069,8609,2153,0,15,98,389.6931034,249.1931034,140.5,32,21546,M,29,25.5,2,0,0,0,119895,0.899,10446,90,8.35,4845,23255.2549,500,33555,15854,23062,20589.85714,15854,25481,22379.13636,15.27940532,13.52815844,0.318320944,0.281836634,-203.8415873,14399,5790,8609,9.460578187,3.804204993,5.656373193,0.197095379,0.079254271,0.117841108,13481,6292,7189,8.857424442,4.134034166,4.723390276,0.184529676,0.086125712,0.098403964
790,208128,48,4336,B,monthly,439,1376.539863,781.0615034,595.4783599,0,0,4.154897494,0.273348519,0,0,0.145785877,19515,0,0,15,142,1372.111617,776.9066059,595.2050114,43,81475,M,48,48,1,1,0,0,387570,1,9897,140,1.78,18708.5,36370,-1070,96064,42546,81475,54891,27105,81475,44496.33333,8.387915129,12.65936347,0.174748232,0.263736739,422.4839506,93399,73884,19515,21.54035978,17.0396679,4.500691882,0.448757495,0.354993081,0.093764414,46572.33333,34690.66667,11881.66667,10.74085178,8.000615006,2.740236777,0.223767745,0.166679479,0.057088266
808,215616,48,4492,D,monthly,303,1061.709571,545.1122112,516.5973597,172.2772277,0,5.475247525,0.247524752,0.04620462,0.00660066,0.201320132,15129,11700,0,15,73,883.6633663,539.6369637,344.0264026,31,8641,M,42,42,1,0,0,0,42821,0.484,8173,124,7.01,1358,21447.59016,-3425,50125,-3425,12041,49.25,-3425,30621,12638.33333,4.77461936,0.010963936,0.099471237,0.000228415,-335.4705556,30622,15493,15129,6.817008014,3.449020481,3.367987533,0.142021,0.071854593,0.070166407,38672,15532.33333,23139.66667,8.609082814,3.457776788,5.151306026,0.179355892,0.072037016,0.107318876
813,24312,12,2026,A,monthly,455,848.4923077,455.5186813,392.9736264,0,0,4.169230769,0.362637363,0,0,0.171428571,10215,0,0,15,139,843.9604396,451.3494505,392.610989,52,28462,F,44,44,1,0,0,0,93931,0.569,8427,107,1.32,1893.5,29380.88462,1100,48278,28462,38537,34415,22661,38537,31829.47059,14.50191738,16.98667325,1.208493115,1.415556104,-252.3888889,22508,12293,10215,11.10957552,6.067620928,5.04195459,0.92579796,0.505635077,0.420162883,24386.66667,13254,11132.66667,12.03685423,6.54195459,5.494899638,1.003071186,0.545162883,0.457908303
