loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,day_before_loan,sum_monthly_payment_amount_notnorm,sum_monthly_payment_amount_in_notnorm,sum_monthly_payment_amount_out_notnorm,sum_monthly_payment_out_household_notnorm,sum_monthly_payment_out_insurrance_notnorm,sum_monthly_payment_in_interest_credited_notnorm,sum_monthly_payment_out_payment_for_statement_notnorm,sum_monthly_payment_out_sanction_interest_neg_bal_notnorm,count_out_sanction_interest_neg_bal_notnorm,count_monthly_payment_trans_notnorm,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount_notnorm,count_other_trans_notnorm,sum_other_amount_in_notnorm,sum_other_amount_out_notnorm,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
5132,817,17/2/1995,538500,60,8975,C,5,monthly,336,492998,258133,234865,32235,0,1277,90,0,0,58,29120,4605,0,15,108,459396,35,256856,202540,23271,M,39,39,1,0,0,0,95616,0.514,9307,118,4.115,2828
5134,825,2/2/1997,53076,12,4423,A,19,monthly,333,385933,203498,182435,55410,0,1762,105,0,0,65,29330,9235,0,15,91,328656,41,201736,126920,21080,M,51,51,1,1,0,0,51428,0.527,8402,120,3.54,1049
5136,846,28/7/1996,187104,24,7796,A,72,monthly,141,490538,288708,201830,0,0,877,30,0,0,25,72615,0,0,15,246,489631,19,287831,201800,86878,F,22,22,1,1,0,0,226122,0.626,8994,110,4.295,9440
5138,854,30/5/1995,87216,48,1817,C,62,monthly,616,438191,232491,205700,6112,45488,2282,225,0,0,148,8745,382,2843,15,106,384084,82,230209,153875,29638,F,45,45,1,0,0,0,145688,0.407,8544,109,1.53,2812.5
5140,873,24/2/1998,178500,60,2975,C,73,monthly,304,173632,96514,77118,5268,11055,830,75,0,0,64,9564,878,2211,15,62,156404,39,95684,60720,19398,F,28,28,1,0,0,0,182027,0.564,8746,90,3.52,4394
5145,915,16/9/1995,309552,48,6449,C,72,monthly,241,610018,330909,279109,57164,0,1310,45,0,0,35,47206,14291,0,15,199,551499,21,329599,221900,51799,M,64,64,1,0,0,0,226122,0.626,8994,110,4.295,9440
5147,938,21/5/1998,22260,60,371,C,70,monthly,159,48878,40078,8800,0,0,363,0,0,0,15,4500,0,0,0,119,48515,11,39715,8800,31278,F,59,59,1,0,0,0,285387,0.899,10177,81,7.175,9993
5148,940,29/5/1996,284280,60,4738,C,37,monthly,561,1390313,742463,647850,0,0,4340,195,0,0,94,18315,0,0,15,264,1385778,64,738123,647655,94617,F,41,40.5,2,0,1,0,114006,0.623,9065,123,4.895,4156.5
5151,960,24/5/1995,189060,60,3151,C,4,after_transaction,203,535004,301975,233029,17820,0,1693,200,0,0,30,54949,5940,0,100,343,515291,19,300282,215009,68946,F,41,41,1,1,0,0,149893,0.674,9753,109,4.825,5568
5154,993,1/7/1998,108720,60,1812,C,6,monthly,594,636940,339137,297803,0,0,4892,75,0,0,64,68237,0,0,30,521,631973,40,334245,297728,41353,F,33,33,1,1,0,0,77963,0.515,8546,126,3.46,2880
5158,1004,11/4/1998,188532,36,5237,C,70,monthly,648,2292664,1157402,1135262,0,0,4466,240,0,0,148,31348,0,0,15,202,2287958,113,1152936,1135022,22145,F,24,24,1,0,0,0,285387,0.899,10177,81,7.175,9993
5160,1011,18/12/1995,204000,60,3400,C,45,monthly,366,500631,269310,231321,56680,0,1572,105,0,0,65,31500,7085,0,15,126,442274,39,267738,174536,45078,M,55,55,1,0,0,0,77917,0.535,8390,132,2.545,2101
5161,1012,28/10/1994,98184,24,4091,A,65,monthly,111,130356,99656,30700,0,0,976,0,0,0,14,18200,0,0,0,482,129380,8,98680,30700,68956,F,54,54,1,0,0,0,114200,0.437,8403,105,5.71,2437.5
5169,1068,24/9/1998,253200,60,4220,C,52,monthly,586,792845,420722,372123,71055,9480,2611,210,0,0,134,26713,4737,632,15,159,709489,72,418111,291378,48603,M,63,63,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
5170,1071,20/1/1994,253200,60,4220,C,68,weekly,255,488407,284779,203628,0,0,1714,150,0,0,41,7173,0,0,30,70,486543,28,283065,203478,81151,F,49,49,1,0,0,0,228848,0.572,9893,96,4.36,5755
5172,1083,16/4/1998,50976,36,1416,C,45,monthly,496,447864,234586,213278,23160,56563,1934,180,0,0,123,10731,1930,4351,15,82,366027,70,232652,133375,21313,M,20,20,1,0,0,0,77917,0.535,8390,132,2.545,2101
5174,1093,13/6/1997,385104,48,8023,C,54,monthly,516,1736448,894090,842358,133393,0,2554,180,0,0,102,54100,10261,0,15,134,1600321,61,891536,708785,62000,F,43,43,1,0,0,0,387570,1,9897,140,1.78,18708.5
5176,1106,12/11/1994,192552,24,8023,B,20,weekly,440,294494,158359,136135,0,0,1465,180,0,0,51,9230,0,0,30,110,292849,31,156894,135955,22256,F,36,36,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
5189,1166,7/2/1994,149040,48,3105,A,11,monthly,292,360832,189932,170900,21985,0,1223,75,0,0,54,29912,4397,0,15,127,337549,35,188709,148840,19048,F,31,31,1,0,0,0,75637,0.365,9622,154,0.495,3502
5206,1242,7/9/1997,128544,24,5356,C,74,after_transaction,287,468524,249804,218720,24550,2110,1786,600,0,0,60,13844,4910,422,100,107,439478,34,248018,191460,31182,F,48,48,1,0,0,0,323870,1,10673,100,5.07,18564.5
5207,1244,28/2/1997,35904,48,748,C,68,monthly,296,117854,67757,50097,4515,1624,777,60,0,0,59,8060,903,406,15,81,110878,38,66980,43898,17662,M,53,53,1,0,0,0,228848,0.572,9893,96,4.36,5755
5208,1247,16/3/1995,99696,48,2077,D,25,monthly,646,1265418,649191,616227,0,0,2729,180,0,1,108,26215,0,0,15,66,1262509,81,646462,616047,32967,F,28,28,1,0,0,0,88757,0.617,8554,113,2.54,2020
5209,1250,25/11/1996,182640,48,3805,C,62,monthly,242,369105,196501,172604,183,0,938,45,0,0,40,23345,61,0,15,163,367939,27,195563,172376,23898,F,57,57,1,0,0,0,145688,0.407,8544,109,1.53,2812.5
5210,1252,1/4/1997,148140,36,4115,C,13,weekly,615,1047138,536681,510457,0,0,3189,480,0,0,118,31605,0,0,30,138,1043469,82,533492,509977,26252,F,37,37,1,0,0,0,53921,0.413,8598,123,2.98,1736
5212,1256,29/5/1995,71064,36,1974,A,38,monthly,403,421099,226247,194852,10602,0,1539,120,0,0,86,16483,1178,0,15,139,408838,57,224708,184130,31397,F,53,53,1,0,0,0,85852,0.598,8965,104,7.615,2737.5
5214,1270,1/7/1997,74772,36,2077,C,55,after_transaction,389,347888,190533,157355,33296,0,1505,900,0,0,71,8362,4162,0,200,211,312187,41,189028,123159,33277,M,39,39,1,0,0,0,157042,0.339,8743,111,2.115,3776.5
5221,1284,5/12/1998,52512,12,4376,C,55,monthly,521,1086787,563909,522878,0,0,2980,165,0,0,87,4615,0,0,15,171,1083642,63,560929,522713,41050,M,55,55,1,0,0,0,157042,0.339,8743,111,2.115,3776.5
5226,1318,11/10/1998,185544,36,5154,C,56,monthly,293,265128,139411,125717,17354,2015,924,30,0,0,35,39966,17354,2015,15,93,244805,23,138487,106318,13694,M,60,60,1,0,0,0,124605,0.46,8772,126,4.79,3006
5229,1329,6/9/1997,23520,12,1960,A,53,monthly,355,276326,147706,128620,23576,0,1073,105,0,0,63,10964,3368,0,15,84,251572,38,146633,104939,19102,M,58,56.5,2,0,0,0,107911,0.509,8240,99,3.03,1876.5
5236,1374,15/9/1997,389136,48,8107,C,53,monthly,354,1192216,635491,556725,0,0,2419,105,0,0,62,68232,0,0,15,213,1189692,44,633072,556620,88470,M,32,32,1,0,0,0,107911,0.509,8240,99,3.03,1876.5
5237,1375,29/8/1995,45336,24,1889,A,19,monthly,489,683486,361661,321825,71160,0,2670,165,0,0,90,20745,5930,0,15,197,609491,52,358991,250500,40940,M,42,42,1,0,0,0,51428,0.527,8402,120,3.54,1049
5241,1389,2/9/1998,125472,24,5228,C,34,monthly,393,1061624,539447,522177,70136,0,2088,180,0,0,97,14291,6376,0,15,90,989220,61,537359,451861,17288,M,59,59,1,0,0,0,125236,0.877,9675,100,7.04,5256.5
5245,1407,17/1/1998,125472,24,5228,C,19,after_transaction,281,1160930,601541,559389,119056,0,2342,800,0,0,77,116382,14882,0,100,365,1038732,52,599199,439533,42152,F,53,54,2,0,0,0,51428,0.527,8402,120,3.54,1049
5253,1447,3/6/1997,100080,48,2085,C,65,monthly,103,53742,41842,11900,0,0,218,0,0,0,10,8800,0,0,0,114,53524,7,41624,11900,29943,F,34,34,1,0,0,0,114200,0.437,8403,105,5.71,2437.5
5260,1480,19/1/1998,123300,36,3425,C,41,weekly,565,1194540,622070,572470,0,0,2748,300,0,0,90,89358,0,0,30,289,1191492,66,619322,572170,49599,F,54,54,1,1,0,0,118650,0.856,9832,114,3.89,5958
5265,1498,7/10/1998,165780,60,2763,C,62,weekly,607,1096102,569733,526369,0,0,6137,270,24,2,113,29330,0,0,30,518,1089671,66,563596,526075,68800,M,48,48,1,0,0,0,145688,0.407,8544,109,1.53,2812.5
5269,1527,19/11/1994,164052,36,4557,B,31,after_transaction,367,767602,394207,373395,0,0,1984,1000,0,1,65,13900,0,0,100,111,764618,42,392223,372395,20811,F,24,24,1,0,0,0,51313,0.592,8930,108,3.85,1390
5270,1528,21/7/1997,191088,48,3981,C,50,monthly,408,528259,283324,244935,77300,0,1977,135,0,0,78,22015,7700,0,15,135,448847,47,281347,167500,38392,M,37,37,1,0,0,0,102609,0.52,8187,94,5.125,2128.5
5281,1580,27/11/1997,194256,24,8094,C,69,monthly,689,1716845,892291,824554,0,0,4002,270,0,0,134,24715,0,0,15,275,1712573,95,888289,824284,67743,M,31,31,1,1,0,0,42821,0.484,8173,124,7.01,1358
5282,1583,24/8/1996,388512,48,8094,D,69,after_transaction,646,878331,458515,419816,0,0,1570,2000,37,4,120,42600,0,0,100,109,874724,75,456945,417779,38697,F,30,30,1,0,0,0,42821,0.484,8173,124,7.01,1358
5285,1603,6/2/1994,78936,12,6578,A,1,monthly,273,166213,95407,70806,9436,0,998,75,0,0,51,12161,2359,0,15,117,155704,33,94409,61295,24601,F,42,42,1,0,0,0,1204953,1,12541,167,0.315,92392
5287,1638,26/1/1998,64224,24,2676,C,6,weekly,440,380289,201973,178316,38996,0,3491,120,0,0,47,12279,9749,0,30,120,337682,25,198482,139200,23653,M,62,59.5,2,0,0,0,77963,0.515,8546,126,3.46,2880
5293,1656,29/10/1998,189792,48,3954,C,47,monthly,635,1054831,546214,508617,193808,0,3279,240,0,0,128,18128,12113,0,15,146,857504,76,542935,314569,37600,M,59,59,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
5301,1698,6/7/1996,141948,36,3943,C,68,monthly,114,89641,68441,21200,0,0,347,0,0,0,10,16200,0,0,0,177,89294,7,68094,21200,47240,F,49,49,1,1,0,0,228848,0.572,9893,96,4.36,5755
5304,1718,20/8/1998,172272,24,7178,C,71,monthly,331,987015,529789,457226,86736,0,2353,90,0,0,55,56671,14456,0,15,276,897836,33,527436,370400,72564,M,56,56,1,0,0,0,161227,0.697,8678,102,5.735,4787.5
5310,1762,28/4/1995,248148,36,6893,A,28,monthly,503,654408,347756,306652,9383,21692,2520,165,0,0,120,16252,853,1972,15,148,620648,72,345236,275412,41109,F,59,59,1,0,0,0,72541,0.369,8594,112,1.805,1552.5
5311,1766,15/6/1996,30060,60,501,C,28,monthly,651,903777,476147,427630,74001,833,3655,255,0,0,186,24150,4353,49,15,143,825033,114,472492,352541,48523,M,48,48,1,1,0,0,72541,0.369,8594,112,1.805,1552.5
5312,1772,13/3/1996,202788,36,5633,C,31,weekly,387,1275157,678391,596766,107946,0,2506,240,0,0,79,41818,23988,0,30,212,1164465,50,675885,488580,81624,F,46,46,1,0,0,0,51313,0.592,8930,108,3.85,1390
5313,1776,27/5/1998,43200,24,1800,C,36,monthly,304,262067,149842,112225,28550,0,1217,75,0,0,54,12325,5710,0,15,165,232225,35,148625,83600,37619,F,50,50,1,0,0,0,159617,0.852,9198,131,3.79,5964
5314,1787,5/7/1993,96396,12,8033,B,30,weekly,105,20100,20100,0,0,0,0,0,0,0,4,0,0,0,0,0,20100,4,20100,0,20100,F,52,52,1,0,0,0,94812,0.818,9650,100,3.485,2894.5
5316,1801,11/7/1993,165960,36,4610,A,46,monthly,148,407580,229894,177686,8334,2868,843,45,0,0,37,15257,4167,956,15,128,395490,24,229051,166439,52209,M,31,31,1,0,0,0,112709,0.735,8369,117,2.005,2736
5318,1808,30/9/1998,385584,48,8033,C,28,monthly,502,944474,481290,463184,0,0,3192,120,0,0,78,40458,0,0,15,360,941162,58,478098,463064,18109,M,25,22.5,2,0,0,0,72541,0.369,8594,112,1.805,1552.5
5319,1811,23/6/1994,239460,60,3991,C,40,monthly,274,445728,240984,204744,16824,0,1233,60,0,0,46,37266,4206,0,15,128,427611,30,239751,187860,36241,F,57,57,1,0,0,0,128118,0.853,9317,97,6.735,6910.5
5320,1819,11/1/1998,143676,36,3991,C,55,weekly,447,426087,221282,204805,6762,57771,2211,210,0,0,72,10485,966,8253,30,65,359133,37,219071,140062,16474,M,47,47,1,0,0,0,157042,0.339,8743,111,2.115,3776.5
5325,1843,3/8/1993,105804,36,2939,A,12,monthly,185,206328,120310,86018,13988,0,802,30,0,0,25,22809,6994,0,15,178,191508,16,119508,72000,34307,F,59,59,1,1,0,0,107870,0.58,8754,137,4.055,3836
5329,1862,16/10/1996,396120,60,6602,C,19,weekly,550,1464721,776666,688055,0,0,3771,390,0,0,95,30251,0,0,30,304,1460560,65,772895,687665,88610,F,49,49,1,1,0,0,51428,0.527,8402,120,3.54,1049
5332,1869,29/1/1998,37944,36,1054,C,1,monthly,594,948131,510521,437610,0,0,4409,210,0,0,107,48515,0,0,15,391,943512,75,506112,437400,72915,F,33,33,1,1,0,0,1204953,1,12541,167,0.315,92392
5334,1876,10/9/1998,209040,24,8710,C,1,monthly,355,454361,255932,198429,16303,0,1910,105,0,0,66,10767,2329,0,15,176,436043,41,254022,182021,57504,M,20,20,1,0,0,1,1204953,1,12541,167,0.315,92392
5337,1886,31/7/1996,162468,36,4513,C,32,monthly,148,226239,150439,75800,0,0,821,0,0,0,15,36300,0,0,0,317,225418,11,149618,75800,74639,F,42,43.5,2,0,0,0,105058,0.81,9272,118,3.01,4422.5
5338,1888,30/8/1997,57360,12,4780,B,6,monthly,313,625246,320131,305115,3060,19614,2591,75,2,1,75,25269,510,3269,15,109,599904,39,317540,282364,15016,M,42,42,1,0,0,0,77963,0.515,8546,126,3.46,2880
5343,1906,8/10/1997,44952,24,1873,C,1,monthly,433,848977,450347,398630,66195,0,2731,135,0,0,89,18428,7355,0,15,252,779916,57,447616,332300,51733,M,29,29,1,0,0,0,1204953,1,12541,167,0.315,92392
5346,1928,6/12/1998,55632,24,2318,C,70,monthly,644,688597,363520,325077,0,0,2556,255,0,0,114,12115,0,0,15,167,685786,76,360964,324822,38464,M,51,51,1,0,0,0,285387,0.899,10177,81,7.175,9993
5350,1967,21/4/1996,249312,48,5194,C,26,weekly,433,599756,327592,272164,84984,0,2126,180,0,0,60,19494,14164,0,30,50,512466,35,325466,187000,55427,M,44,44,1,0,0,0,170449,1,10787,131,2.845,6151
5351,1978,4/12/1994,205200,36,5700,A,57,weekly,541,1192501,623543,568958,91013,4628,4107,390,0,0,129,45087,7001,356,30,282,1092363,73,619436,472927,54586,F,36,36,1,0,0,0,161954,0.48,8720,116,4.1,3690
5352,1993,15/4/1995,68400,12,5700,B,68,monthly,167,101547,62747,38800,0,0,671,0,0,0,14,3900,0,0,0,148,100876,9,62076,38800,23946,F,23,23,1,0,0,0,228848,0.572,9893,96,4.36,5755
5354,2000,14/7/1998,290820,60,4847,C,5,monthly,342,457770,255579,202191,26544,98,2029,105,0,0,84,13935,3318,14,15,178,428994,51,253550,175444,53389,M,62,62,1,1,0,0,95616,0.514,9307,118,4.115,2828
5358,2018,21/1/1997,38520,12,3210,A,42,monthly,597,270559,142274,128285,49840,0,1566,225,0,0,114,11690,3115,0,15,74,218928,64,140708,78220,16514,M,60,60,1,0,0,0,95907,0.591,8388,87,2.67,1663
5360,2035,25/1/1998,176328,36,4898,C,53,monthly,625,1273013,654716,618297,134464,1936,3456,225,0,0,171,59150,8404,121,15,287,1132932,105,651260,481672,36423,M,56,56.5,2,0,0,0,107911,0.509,8240,99,3.03,1876.5
5363,2051,22/4/1997,293880,60,4898,D,64,weekly,531,1015989,507893,508096,0,0,3074,330,19,1,90,49,0,0,30,7,1012566,64,504819,507747,-205,F,24,24,1,0,1,0,197099,0.747,9624,145,1.955,4374.5
5365,2055,19/7/1998,271260,60,4521,C,37,monthly,458,346920,179250,167670,68440,0,946,150,0,0,73,16959,6844,0,15,65,277384,39,178304,99080,11585,M,28,28,1,0,0,0,114006,0.623,9065,123,4.895,4156.5
